#MU        SIGMA      ENERGY     ERROR     
-1.0869    0.428499   0.282538   0.0324277 
-1.0869    0.428499   0.282538   0.0148359 
-1.12962   0.506466   0.0795258  0.0183079 
-1.19697   0.537252   0.203954   0.0180932 
-1.19697   0.537252   0.203954   0.0156724 
-1.1524    0.513261   0.107428   0.0160421 
-1.08698   0.575527   -0.120988  0.0164434 
-1.03586   0.610783   -0.229841  0.0366259 
-1.06636   0.702768   -0.0672455 0.0594495 
-1.06636   0.702768   -0.0672455 0.0449126 
-1.06636   0.702768   -0.0672455 0.0351129 
-0.97896   0.721019   -0.145271  0.0282942 
-0.90384   0.754087   -0.230667  0.0466666 
-0.90384   0.754087   -0.230667  0.0419086 
-0.895102  0.77858    -0.182733  0.0398445 
-0.805225  0.865774   -0.156821  0.0358919 
-0.852356  0.798657   -0.207536  0.0262172 
-0.77105   0.809538   -0.280699  0.0167521 
-0.673689  0.826682   -0.35565   0.0182073 
-0.673689  0.826682   -0.35565   0.0192448 
-0.673689  0.826682   -0.35565   0.0430635 
-0.757223  0.91737    -0.131393  0.037212  
-0.706765  0.855221   -0.195077  0.0198038 
-0.753649  0.780236   -0.34488   0.0185632 
-0.760953  0.75489    -0.36528   0.0250193 
-0.760953  0.75489    -0.36528   0.0150789 
-0.738065  0.724517   -0.384016  0.0138476 
-0.742448  0.715729   -0.374371  0.028847  
-0.742448  0.715729   -0.374371  0.0127155 
-0.663401  0.746493   -0.350757  0.0170112 
-0.663401  0.746493   -0.350757  0.0127571 
-0.598223  0.791499   -0.348994  0.0121451 
-0.613253  0.726263   -0.331566  0.0149601 
-0.613253  0.726263   -0.331566  0.0121387 
-0.579906  0.63363    -0.307692  0.0106706 
-0.672018  0.561182   -0.388388  0.0232725 
-0.672018  0.561182   -0.388388  0.00746168
-0.688833  0.614619   -0.401907  0.00843067
-0.647001  0.658861   -0.378258  0.00701119
-0.694123  0.625963   -0.407356  0.0072125 
-0.778995  0.64352    -0.442124  0.0162836 
-0.865565  0.732871   -0.351429  0.0246268 
-0.865565  0.732871   -0.351429  0.0166745 
-0.864206  0.723089   -0.380213  0.0360748 
-0.864206  0.723089   -0.380213  0.0232065 
-0.817218  0.784362   -0.314954  0.0294066 
-0.817218  0.784362   -0.314954  0.0192918 
-0.848592  0.750486   -0.335348  0.0159499 
-0.833381  0.662177   -0.403679  0.0063234 
-0.761592  0.622586   -0.440965  0.0149415 
-0.804635  0.526735   -0.352477  0.010712  
-0.87539   0.561767   -0.41901   0.0250628 
-0.8585    0.462743   -0.108521  0.0531769 
-0.8585    0.462743   -0.108521  0.0246448 
-0.889042  0.468222   -0.107275  0.0195123 
-0.848272  0.501076   -0.277435  0.0137273 
-0.898453  0.534085   -0.366385  0.0226871 
-0.898453  0.534085   -0.366385  0.0233813 
-0.898453  0.534085   -0.366385  0.0113075 
-0.937461  0.562195   -0.345366  0.0138308 
-0.937461  0.562195   -0.345366  0.0140972 
-1.03466   0.579849   -0.233038  0.0277669 
-1.03466   0.579849   -0.233038  0.0165274 
-1.10943   0.547342   -0.0183018 0.0194512 
-1.05709   0.477877   -0.00955648 0.0207948 
-1.05709   0.477877   -0.00955648 0.0271972 
-1.05709   0.477877   -0.00955648 0.0256077 
-1.05709   0.477877   -0.00955648 0.0231061 
