#MU        SIGMA      ENERGY     ERROR     
-0.496209  0.80836    -0.306734  0.0146371 
-0.444036  0.859127   -0.255424  0.0157229 
-0.391303  0.768233   -0.196162  0.0149327 
-0.455375  0.704007   -0.212728  0.0181502 
-0.387638  0.681452   -0.0922164 0.0202059 
-0.387638  0.681452   -0.0922164 0.0187743 
-0.359937  0.699493   -0.117446  0.017342  
-0.456343  0.643346   -0.181327  0.0150656 
-0.503891  0.597998   -0.186223  0.0174081 
-0.503891  0.597998   -0.186223  0.0153399 
-0.554364  0.508966   -0.17887   0.0141185 
-0.553061  0.525925   -0.195739  0.0129591 
-0.546482  0.619854   -0.254186  0.0175841 
-0.546482  0.619854   -0.254186  0.00945441
-0.637253  0.687966   -0.369279  0.0122937 
-0.637253  0.687966   -0.369279  0.0121001 
-0.637253  0.687966   -0.369279  0.0135518 
-0.637253  0.687966   -0.369279  0.00975333
-0.622838  0.594094   -0.324233  0.0109651 
-0.706083  0.551278   -0.375756  0.0210108 
-0.706083  0.551278   -0.375756  0.0151335 
-0.762155  0.524686   -0.382926  0.0320849 
-0.762155  0.524686   -0.382926  0.0321497 
-0.762155  0.524686   -0.382926  0.0119739 
-0.731743  0.542835   -0.380372  0.0165931 
-0.720044  0.512517   -0.307913  0.0327507 
-0.720044  0.512517   -0.307913  0.0196451 
-0.720044  0.512517   -0.307913  0.0319993 
-0.720044  0.512517   -0.307913  0.00925092
-0.675956  0.581731   -0.378724  0.0146626 
-0.753921  0.524896   -0.339712  0.0354462 
-0.753921  0.524896   -0.339712  0.0265789 
-0.753921  0.524896   -0.339712  0.0110009 
-0.822227  0.554181   -0.389935  0.0085154 
-0.814662  0.633414   -0.449161  0.0125423 
-0.814662  0.633414   -0.449161  0.0119425 
-0.868647  0.671661   -0.417042  0.0192367 
-0.868647  0.671661   -0.417042  0.0154886 
-0.831311  0.712961   -0.379863  0.00699043
-0.808479  0.622676   -0.440193  0.00595407
-0.719294  0.654815   -0.422494  0.0100578 
-0.620087  0.624882   -0.342111  0.00939785
-0.630429  0.609977   -0.355249  0.0121437 
-0.642893  0.545213   -0.340997  0.0080793 
-0.65908   0.618681   -0.375923  0.0138924 
-0.703869  0.695344   -0.391972  0.0117472 
-0.777301  0.715317   -0.411185  0.00700005
-0.768416  0.663018   -0.436489  0.0103597 
-0.768416  0.663018   -0.436489  0.00857665
-0.768416  0.663018   -0.436489  0.00876157
-0.768416  0.663018   -0.436489  0.0123061 
-0.768416  0.663018   -0.436489  0.0190257 
-0.768416  0.663018   -0.436489  0.00916785
-0.722132  0.667495   -0.420265  0.0159283 
-0.768952  0.760284   -0.356854  0.0193248 
-0.748273  0.796389   -0.343124  0.0312516 
-0.748273  0.796389   -0.343124  0.0413559 
-0.748273  0.796389   -0.343124  0.0362869 
-0.748273  0.796389   -0.343124  0.0259862 
-0.748273  0.796389   -0.343124  0.024042  
-0.799072  0.723905   -0.364603  0.0207824 
-0.799072  0.723905   -0.364603  0.00701214
-0.727202  0.678437   -0.417471  0.00751053
-0.74737   0.583749   -0.430145  0.0130142 
-0.74737   0.583749   -0.430145  0.00643316
-0.74737   0.583749   -0.430145  0.00820997
-0.74737   0.583749   -0.430145  0.0090431 
-0.74737   0.583749   -0.430145  0.00926817
-0.804235  0.670957   -0.440393  0.0141622 
-0.804235  0.670957   -0.440393  0.00599576
-0.804235  0.670957   -0.440393  0.0197708 
-0.804235  0.670957   -0.440393  0.00749197
-0.79228   0.612731   -0.437804  0.00883365
-0.852292  0.574641   -0.427934  0.00849655
-0.826766  0.599831   -0.437932  0.00726958
-0.804346  0.634596   -0.450149  0.0158947 
-0.885138  0.682811   -0.396567  0.0359699 
-0.885138  0.682811   -0.396567  0.0478808 
-0.885138  0.682811   -0.396567  0.00709859
-0.816941  0.619659   -0.435963  0.0103428 
-0.830877  0.671378   -0.418964  0.0184348 
-0.789908  0.722107   -0.373783  0.0170463 
-0.790606  0.735442   -0.387941  0.011222  
-0.764061  0.662989   -0.431853  0.00714519
-0.710662  0.673264   -0.417131  0.0174038 
-0.710662  0.673264   -0.417131  0.0118473 
-0.710662  0.673264   -0.417131  0.0120114 
-0.661583  0.758618   -0.356822  0.0107887 
-0.695342  0.677929   -0.406849  0.00791651
-0.668007  0.657052   -0.400129  0.00769801
-0.705377  0.592303   -0.413969  0.00907313
-0.745621  0.678255   -0.422213  0.00837869
-0.745621  0.678255   -0.422213  0.0061559 
-0.760099  0.613125   -0.431312  0.00796367
-0.769023  0.655728   -0.435435  0.0060874 
-0.78471   0.622217   -0.44119   0.0118478 
-0.78471   0.622217   -0.44119   0.0114347 
-0.789458  0.690076   -0.436214  0.0181218 
-0.789458  0.690076   -0.436214  0.0227887 
-0.789458  0.690076   -0.436214  0.0402649 
-0.789458  0.690076   -0.436214  0.024467  
-0.789458  0.690076   -0.436214  0.0194993 
-0.789458  0.690076   -0.436214  0.00723   
-0.820522  0.593436   -0.447651  0.0143574 
-0.820522  0.593436   -0.447651  0.00915486
-0.820522  0.593436   -0.447651  0.0118408 
-0.820522  0.593436   -0.447651  0.0108872 
-0.828834  0.657815   -0.42396   0.0159337 
