#MU        SIGMA      ENERGY     ERROR     
-0.746515  0.653591   -0.441704  0.0075872 
-0.774139  0.604057   -0.437495  0.00606139
-0.774139  0.604057   -0.437495  0.0112603 
-0.774139  0.604057   -0.437495  0.0140124 
-0.774139  0.604057   -0.437495  0.0113399 
-0.774139  0.604057   -0.437495  0.00934141
-0.774139  0.604057   -0.437495  0.00751177
-0.770193  0.629138   -0.435873  0.0272951 
-0.770193  0.629138   -0.435873  0.00982456
-0.770193  0.629138   -0.435873  0.00631453
-0.737722  0.635467   -0.424518  0.00878299
-0.737722  0.635467   -0.424518  0.00780268
-0.737722  0.635467   -0.424518  0.00859751
-0.819716  0.612387   -0.439415  0.0132052 
-0.819716  0.612387   -0.439415  0.010144  
-0.883049  0.593167   -0.411534  0.0124254 
-0.883049  0.593167   -0.411534  0.0149439 
-0.891293  0.660451   -0.393051  0.0231387 
-0.891293  0.660451   -0.393051  0.010609  
-0.839889  0.649429   -0.424363  0.0103072 
-0.839889  0.649429   -0.424363  0.00938396
-0.772098  0.651032   -0.433057  0.0100213 
-0.821919  0.668505   -0.434241  0.0129892 
-0.821919  0.668505   -0.434241  0.0184993 
-0.821919  0.668505   -0.434241  0.0104802 
-0.821919  0.668505   -0.434241  0.0172876 
-0.821919  0.668505   -0.434241  0.00786623
-0.724066  0.65132    -0.427313  0.00671705
-0.743554  0.594551   -0.430883  0.00719395
-0.825217  0.59435    -0.435739  0.0097825 
-0.825217  0.59435    -0.435739  0.00960206
-0.825217  0.59435    -0.435739  0.0168688 
-0.825217  0.59435    -0.435739  0.0113751 
-0.801193  0.550817   -0.416415  0.00824782
-0.801193  0.550817   -0.416415  0.0227238 
-0.801193  0.550817   -0.416415  0.012641  
-0.801193  0.550817   -0.416415  0.0208804 
-0.801193  0.550817   -0.416415  0.0272502 
-0.801193  0.550817   -0.416415  0.00728355
-0.705599  0.602837   -0.413624  0.0168096 
-0.705599  0.602837   -0.413624  0.0109049 
-0.799161  0.63948    -0.428308  0.00941243
-0.799161  0.63948    -0.428308  0.0136061 
-0.799161  0.63948    -0.428308  0.00779829
-0.805755  0.587883   -0.433344  0.00857792
-0.845531  0.586002   -0.432002  0.00828122
-0.760573  0.608171   -0.427282  0.0104635 
-0.791981  0.69233    -0.422796  0.0141649 
-0.791981  0.69233    -0.422796  0.0210322 
-0.791981  0.69233    -0.422796  0.0171895 
-0.791981  0.69233    -0.422796  0.00755674
-0.791981  0.69233    -0.422796  0.00620594
-0.717884  0.620965   -0.425937  0.00977867
-0.73436   0.667666   -0.424501  0.0112959 
-0.788427  0.668293   -0.432866  0.0145506 
-0.788427  0.668293   -0.432866  0.00857142
-0.788427  0.668293   -0.432866  0.0256286 
-0.788427  0.668293   -0.432866  0.00706826
-0.717778  0.59646    -0.42418   0.00864889
-0.79378   0.638052   -0.437935  0.00699424
-0.737889  0.632982   -0.421701  0.0111309 
-0.825814  0.555147   -0.416259  0.0200664 
-0.825814  0.555147   -0.416259  0.0199166 
-0.825814  0.555147   -0.416259  0.0190868 
-0.825814  0.555147   -0.416259  0.00986009
-0.852907  0.57206    -0.41593   0.0114369 
-0.821512  0.655536   -0.427501  0.00771481
-0.858067  0.589319   -0.43635   0.0117245 
