#MU        SIGMA      ENERGY     ERROR     
1.29203    0.702558   1.14187    0.0497172 
1.21954    0.668863   0.519567   0.0462949 
1.15438    0.662229   0.215251   0.0564479 
1.15438    0.662229   0.215251   0.0366649 
1.07735    0.674527   -0.00680388 0.0356692 
1.10562    0.663717   0.0543574  0.0175095 
1.06501    0.591335   -0.151981  0.0243634 
1.0189     0.661066   -0.184951  0.0200285 
1.11393    0.585486   -0.0171251 0.0210675 
1.05825    0.618319   -0.175501  0.0303943 
0.974424   0.692291   -0.22666   0.00992094
0.883093   0.625749   -0.422131  0.0101243 
0.929367   0.56641    -0.371355  0.0145107 
0.999397   0.541454   -0.227808  0.011367  
0.951621   0.546243   -0.28201   0.0119204 
0.903248   0.55086    -0.369677  0.013008  
0.944706   0.539047   -0.322824  0.0306954 
0.912357   0.442916   0.0124615  0.0229581 
0.950701   0.469693   -0.0982754 0.0159257 
0.900491   0.520011   -0.289386  0.00817264
0.884261   0.616603   -0.428639  0.0159221 
0.983304   0.591552   -0.292159  0.0155647 
1.0692     0.497122   -0.0408496 0.0109213 
0.971315   0.571104   -0.317089  0.00926724
0.90998    0.583109   -0.402287  0.0163853 
0.974763   0.508229   -0.20995   0.0132738 
1.03315    0.533054   -0.17304   0.0130308 
1.09396    0.526266   -0.0245845 0.0181947 
1.04721    0.47545    0.00429803 0.0380742 
1.04721    0.47545    0.00429803 0.0245675 
1.13138    0.429411   0.30126    0.0222213 
1.22407    0.42549    0.468454   0.0198619 
1.23762    0.435609   0.523232   0.0161282 
1.14956    0.459511   0.243457   0.0161967 
1.09245    0.486511   0.0206175  0.0264936 
1.00624    0.445962   0.0465602  0.0172979 
0.942719   0.509381   -0.270607  0.015829  
1.01198    0.510295   -0.17008   0.0207353 
1.08897    0.562704   -0.0988908 0.0176883 
1.09334    0.544096   -0.0520894 0.0203462 
1.04537    0.631968   -0.185577  0.0102202 
0.956166   0.58957    -0.355305  0.0144298 
0.920209   0.536147   -0.33665   0.0160673 
0.920209   0.536147   -0.33665   0.0145533 
0.920209   0.536147   -0.33665   0.0303913 
0.925383   0.438222   0.0708681  0.0378814 
0.992554   0.396873   0.312289   0.0212711 
0.980064   0.477183   -0.092471  0.010805  
0.951002   0.562811   -0.332123  0.0112803 
0.960721   0.556214   -0.307051  0.0142131 
0.999116   0.516858   -0.186293  0.0133249 
0.906483   0.536499   -0.344144  0.00963277
0.959717   0.577687   -0.339859  0.0126771 
0.941301   0.536235   -0.300012  0.0234209 
1.00442    0.459778   0.0343972  0.0119894 
0.907267   0.55349    -0.373542  0.0181572 
0.887846   0.506342   -0.250059  0.0171038 
0.844609   0.513777   -0.319234  0.018616  
0.914695   0.492619   -0.181004  0.010556  
0.88333    0.562958   -0.382608  0.00729205
0.827271   0.609393   -0.440009  0.0132005 
0.858019   0.538217   -0.386431  0.0230549 
0.813537   0.485765   -0.295358  0.0108508 
0.879466   0.554473   -0.387631  0.0258479 
0.79303    0.471227   -0.210147  0.0373994 
0.839405   0.410817   0.254121   0.0534335 
0.779039   0.369772   0.549824   0.0354755 
0.836616   0.426751   0.0649948  0.0673272 
0.836616   0.426751   0.0649948  0.042895  
0.831183   0.388199   0.455877   0.0401756 
0.770313   0.402158   0.309147   0.0460566 
0.797344   0.380133   0.513904   0.0308254 
0.750195   0.443564   -0.0675829 0.0160877 
0.769121   0.519311   -0.351214  0.0185288 
0.815329   0.507898   -0.304947  0.0160929 
0.875969   0.512931   -0.281069  0.0243559 
0.973398   0.453071   0.0406989  0.0472258 
0.973398   0.453071   0.0406989  0.04989   
0.964697   0.372876   0.50516    0.029933  
1.03992    0.417638   0.31148    0.0427232 
0.976883   0.383103   0.415397   0.0585234 
1.00886    0.335336   0.992722   0.0449184 
0.97443    0.381568   0.476325   0.0587879 
0.894095   0.350338   0.845473   0.0430012 
0.80814    0.391886   0.403825   0.0347649 
0.752538   0.429574   0.0319466  0.0482201 
0.76932    0.380382   0.413016   0.0770788 
0.76932    0.380382   0.413016   0.0319398 
0.822034   0.448804   -0.100568  0.0348637 
0.766471   0.436669   -0.0228459 0.0575278 
0.766471   0.436669   -0.0228459 0.017924  
0.667992   0.504384   -0.288509  0.0112285 
0.758241   0.546558   -0.395274  0.00899761
0.835045   0.584144   -0.436127  0.00669715
0.789173   0.618756   -0.437879  0.00658337
0.710902   0.630217   -0.422478  0.0180576 
0.756553   0.719968   -0.375054  0.0163931 
0.69616    0.766969   -0.357234  0.0203781 
0.743394   0.782321   -0.338586  0.0379458 
0.71824    0.84976    -0.205895  0.0214568 
0.789146   0.814983   -0.301767  0.0259151 
0.72229    0.897774   -0.23792   0.0305932 
0.734155   0.854697   -0.236845  0.0329411 
0.693418   0.85371    -0.238959  0.0401454 
0.679418   0.940774   -0.159793  0.0656021 
0.639654   0.963294   -0.165774  0.0586394 
0.696914   1.05916    0.02959    0.0795854 
0.696914   1.05916    0.02959    0.107068  
0.777561   1.1537     0.465985   0.11442   
0.856984   1.17069    0.740213   0.129863  
0.92026    1.10879    0.863304   0.146946  
