#MU        SIGMA      ENERGY     ERROR     
-0.694891  0.72631    -0.364747  0.0383537 
-0.772207  0.787255   -0.29144   0.0248538 
-0.74253   0.834683   -0.277836  0.0518211 
-0.813023  0.926461   -0.0621529 0.0672611 
-0.815589  1.02329    0.180342   0.0925409 
-0.91121   1.01704    0.458824   0.0873649 
-0.917986  0.918442   0.285561   0.0494356 
-0.917365  0.884957   0.0303494  0.046734  
-0.837657  0.860301   -0.0923074 0.0234556 
-0.827927  0.779224   -0.294155  0.0467924 
-0.752412  0.85714    -0.195493  0.0187358 
-0.725145  0.789923   -0.322906  0.0272464 
-0.678595  0.889119   -0.238303  0.018686  
-0.75325   0.808052   -0.349202  0.0640958 
-0.75325   0.808052   -0.349202  0.0375894 
-0.75325   0.808052   -0.349202  0.0169852 
-0.822611  0.730792   -0.386985  0.0163743 
-0.889645  0.685081   -0.387943  0.0161201 
-0.931743  0.648912   -0.354508  0.0156644 
-0.917134  0.707289   -0.360272  0.0194526 
-0.864157  0.749535   -0.346056  0.0216274 
-0.849355  0.705206   -0.359785  0.0227495 
-0.897457  0.72726    -0.306044  0.0525793 
-0.975272  0.814874   0.0904538  0.0620068 
-0.922758  0.893576   0.154941   0.0293168 
-0.866635  0.824248   -0.215532  0.0351718 
-0.776065  0.917044   -0.155286  0.048688  
-0.73203   0.97969    -0.0234965 0.0465504 
-0.820563  1.01561    0.023983   0.0637707 
-0.788517  1.03794    0.162172   0.0960057 
-0.857303  1.0553     0.467919   0.0596081 
-0.859352  1.03582    0.152139   0.0464939 
-0.771742  0.952454   -0.0694687 0.0704422 
-0.827524  1.03719    0.210918   0.112087  
-0.827524  1.03719    0.210918   0.0622852 
-0.927015  0.942192   0.193854   0.0807674 
-0.927015  0.942192   0.193854   0.051596  
-0.943003  0.877176   0.000305936 0.0429613 
-0.894667  0.844474   -0.11438   0.081463  
-0.967554  0.923124   0.3801     0.0705029 
-1.0138    0.893279   0.243404   0.0786737 
-1.03435   0.901333   0.406216   0.0834443 
-1.0043    0.924567   0.454883   0.0996824 
-0.922506  1.02447    0.561343   0.0992193 
-0.845643  0.97157    0.216158   0.0544442 
-0.842794  0.954142   0.0568069  0.112995  
-0.842794  0.954142   0.0568069  0.0426435 
-0.941948  0.859711   0.00299407 0.0803996 
-0.962505  0.91622    0.43709    0.0502768 
-0.887485  0.872799   0.00388203 0.0478409 
-0.922651  0.901887   0.0314842  0.0634101 
-0.922651  0.901887   0.0314842  0.0437444 
-0.871487  0.850552   -0.0986849 0.0451463 
-0.93923   0.771672   -0.110245  0.0241898 
-0.879946  0.68552    -0.357894  0.0102405 
-0.840535  0.653254   -0.434194  0.0275986 
-0.893899  0.749203   -0.266638  0.0296186 
-0.907956  0.738052   -0.255015  0.0455827 
-0.991283  0.769151   -0.00632204 0.0567899 
-0.991283  0.769151   -0.00632204 0.0368388 
-0.915241  0.759203   -0.215451  0.0274497 
-0.9183    0.719912   -0.289833  0.0467693 
-0.944936  0.802898   -0.0805332 0.043602  
-0.964464  0.787395   -0.102324  0.0637855 
-0.964464  0.787395   -0.102324  0.0469686 
-1.03224   0.813493   0.114037   0.0279412 
-0.945794  0.733291   -0.239461  0.0503517 
-0.945794  0.733291   -0.239461  0.0282383 
-0.946918  0.74922    -0.186202  0.0356977 
