#MU        SIGMA      ENERGY     ERROR     
-0.532919  1.09997    -0.144865  0.0527132 
-0.532919  1.09997    -0.144865  0.0910973 
-0.532919  1.09997    -0.144865  0.0622365 
-0.532919  1.09997    -0.144865  0.070433  
-0.532919  1.09997    -0.144865  0.0391191 
-0.532919  1.09997    -0.144865  0.0713017 
-0.532919  1.09997    -0.144865  0.0484974 
-0.532919  1.09997    -0.144865  0.0430336 
-0.48153   1.11982    -0.0450506 0.069641  
-0.547638  1.09313    -0.0351492 0.0615587 
-0.547638  1.09313    -0.0351492 0.0479459 
-0.494329  1.15392    -0.0657346 0.0819883 
-0.494329  1.15392    -0.0657346 0.0929094 
-0.395034  1.1177     -0.00962678 0.0315312 
-0.36294   1.12189    -0.165069  0.0337949 
-0.335384  1.06296    -0.159123  0.0186468 
-0.296693  1.02288    -0.303629  0.0280127 
-0.334571  1.08244    -0.245185  0.0549313 
-0.334571  1.08244    -0.245185  0.0524716 
-0.411099  1.17049    -0.0339958 0.0931078 
-0.411099  1.17049    -0.0339958 0.10322   
-0.411099  1.17049    -0.0339958 0.0893845 
-0.418755  1.26888    0.335303   0.102506  
-0.418755  1.26888    0.335303   0.0608353 
-0.471119  1.2299     0.132105   0.0600933 
-0.551564  1.17951    0.0681917  0.148189  
-0.551564  1.17951    0.0681917  0.0817013 
-0.551564  1.17951    0.0681917  0.0640295 
-0.484124  1.23157    0.13553    0.0514083 
-0.3958    1.17586    -0.0193472 0.0444142 
-0.406376  1.18047    -0.00833003 0.0848587 
-0.406376  1.18047    -0.00833003 0.0620199 
-0.441355  1.15763    0.0284275  0.0912085 
-0.350296  1.2332     0.137386   0.057807  
-0.433706  1.18602    0.106956   0.056427  
-0.45041   1.23281    0.116622   0.124138  
-0.45041   1.23281    0.116622   0.0844911 
-0.45041   1.23281    0.116622   0.0478233 
-0.432326  1.14309    -0.0341621 0.104594  
-0.432326  1.14309    -0.0341621 0.0525309 
-0.462827  1.11913    -0.0344555 0.0705751 
-0.462827  1.11913    -0.0344555 0.0580322 
-0.505157  1.09357    -0.037294  0.0332833 
-0.480686  1.01935    -0.208048  0.0305397 
-0.47761   0.961059   -0.2577    0.0339007 
-0.504145  1.04915    -0.20622   0.0285399 
-0.482575  1.02371    -0.22172   0.0488699 
-0.482575  1.02371    -0.22172   0.0261744 
-0.563703  0.961855   -0.191402  0.0215088 
-0.584563  0.896467   -0.245433  0.0284635 
-0.597897  0.96567    -0.240362  0.0615843 
-0.597897  0.96567    -0.240362  0.0357529 
-0.611484  0.984619   -0.168246  0.0240786 
-0.513705  0.95457    -0.210744  0.0348353 
-0.54067   1.01108    -0.187712  0.0281238 
-0.503073  0.978646   -0.217554  0.0789411 
-0.503073  0.978646   -0.217554  0.0251189 
-0.424874  1.01986    -0.229585  0.0409097 
-0.498471  1.07395    -0.109265  0.0522307 
-0.498471  1.07395    -0.109265  0.0295786 
-0.416413  1.09308    -0.160504  0.0293961 
-0.442752  1.04166    -0.198347  0.0370865 
-0.421361  1.01478    -0.203685  0.0304994 
-0.51605   0.943475   -0.265216  0.0268215 
-0.466911  1.0092     -0.228866  0.0372877 
-0.520883  1.00099    -0.195258  0.0514066 
-0.524176  1.04509    -0.143663  0.0334106 
-0.439629  1.05152    -0.175655  0.0196889 
-0.504988  0.954783   -0.25564   0.0513313 
-0.504988  0.954783   -0.25564   0.0315113 
-0.518541  0.960581   -0.216203  0.0339504 
-0.611407  0.905878   -0.259501  0.0356033 
-0.634791  0.961793   -0.145221  0.0282749 
-0.63348   0.979561   -0.229314  0.0462271 
-0.63348   0.979561   -0.229314  0.0421337 
-0.584322  1.04319    -0.1418    0.0328957 
-0.570956  0.980699   -0.19378   0.0382045 
-0.61577   0.944413   -0.147051  0.0381264 
-0.660783  0.950573   -0.166134  0.0372578 
-0.567917  1.01356    -0.171265  0.0260218 
-0.611802  0.966228   -0.256599  0.0299824 
-0.535506  0.994671   -0.207996  0.0419259 
-0.535506  0.994671   -0.207996  0.0482621 
-0.535506  0.994671   -0.207996  0.035094  
