#MU        SIGMA      ENERGY     ERROR     
-0.749535  0.543697   -0.373819  0.0223968 
-0.748492  0.479556   -0.247908  0.0115014 
-0.740345  0.547903   -0.38849   0.00898055
-0.662754  0.580906   -0.373309  0.0186913 
-0.746     0.501734   -0.298251  0.0338104 
-0.746     0.501734   -0.298251  0.012253  
-0.77979   0.545075   -0.419336  0.0195018 
-0.77979   0.545075   -0.419336  0.00984184
-0.864694  0.575358   -0.414322  0.00962493
-0.852461  0.652655   -0.427652  0.0107852 
-0.829045  0.559928   -0.419039  0.00885955
-0.786638  0.57189    -0.430962  0.014754  
-0.840809  0.52922    -0.383937  0.0251986 
-0.840809  0.52922    -0.383937  0.0185281 
-0.938254  0.500154   -0.230255  0.0237555 
-0.938254  0.500154   -0.230255  0.0128276 
-1.02753   0.580497   -0.219374  0.0168299 
-1.01605   0.603278   -0.246452  0.0132194 
-1.01605   0.603278   -0.246452  0.0110286 
-0.963617  0.58482    -0.332517  0.0114447 
-0.950822  0.602619   -0.355568  0.0233305 
-0.931606  0.701839   -0.312952  0.011852  
-0.917969  0.636573   -0.393705  0.0224057 
-0.917939  0.706707   -0.295456  0.0245232 
-0.90308   0.730376   -0.296427  0.0220817 
-0.992554  0.65713    -0.23226   0.0176996 
-1.04692   0.603826   -0.203662  0.0264402 
-1.11702   0.642754   -0.0161965 0.0361975 
-1.04247   0.701151   -0.0506264 0.0342367 
-1.14231   0.660797   0.127281   0.0210025 
-1.14231   0.660797   0.127281   0.0903059 
-1.14231   0.660797   0.127281   0.0354804 
-1.05569   0.708212   -0.0780548 0.0453128 
-1.00816   0.702054   -0.0976562 0.0353306 
-1.05583   0.7594     -0.0293383 0.0482027 
-0.967275  0.832643   0.0416155  0.0340524 
-0.960755  0.767029   -0.137402  0.0327902 
-0.879862  0.766521   -0.271114  0.0226474 
-0.819321  0.831141   -0.288819  0.0182334 
-0.822744  0.739836   -0.39851   0.0177197 
-0.776995  0.715954   -0.383098  0.0180988 
-0.70212   0.797866   -0.327393  0.0186422 
-0.726169  0.791584   -0.337699  0.0214634 
-0.726169  0.791584   -0.337699  0.0141232 
-0.772206  0.739755   -0.381175  0.0220453 
-0.772206  0.739755   -0.381175  0.0150037 
-0.795415  0.730192   -0.384474  0.0263435 
-0.795415  0.730192   -0.384474  0.00802702
-0.779583  0.633955   -0.441964  0.0146163 
-0.779583  0.633955   -0.441964  0.00821141
-0.712161  0.649112   -0.41073   0.00639583
-0.790408  0.613051   -0.45481   0.0145373 
-0.876343  0.66706    -0.403083  0.0120126 
-0.882363  0.663112   -0.402981  0.0125532 
-0.940437  0.569048   -0.351678  0.0108897 
-0.952414  0.561021   -0.33499   0.0159199 
-0.952414  0.561021   -0.33499   0.0154473 
-0.859437  0.524796   -0.367628  0.0275577 
-0.847582  0.455648   -0.0728647 0.0450268 
-0.847582  0.455648   -0.0728647 0.0356223 
-0.753424  0.430488   0.0134621  0.0403423 
-0.753424  0.430488   0.0134621  0.0345676 
-0.7694    0.440343   -0.0766797 0.0492791 
-0.7694    0.440343   -0.0766797 0.0205684 
-0.818215  0.487183   -0.210752  0.0268117 
-0.818215  0.487183   -0.210752  0.0249021 
-0.899447  0.468564   -0.141843  0.0458584 
-0.899447  0.468564   -0.141843  0.0486896 
-0.899447  0.468564   -0.141843  0.0114281 
-0.940083  0.557754   -0.353962  0.00865163
-0.859291  0.600589   -0.433837  0.00716373
-0.81848   0.626421   -0.447621  0.00861204
-0.80098   0.583005   -0.417212  0.0186814 
-0.799514  0.674457   -0.395473  0.00718225
-0.759537  0.641469   -0.436333  0.0178493 
-0.799758  0.720531   -0.379059  0.0170522 
-0.866748  0.653004   -0.397596  0.035899  
-0.896683  0.721995   -0.265801  0.0127279 
-0.888606  0.651176   -0.411196  0.0133324 
-0.820933  0.698935   -0.402272  0.0198072 
-0.911133  0.686157   -0.358093  0.0131569 
-0.933616  0.631155   -0.36469   0.0145753 
-0.910748  0.62568    -0.381467  0.0108511 
-0.955175  0.585926   -0.358035  0.0181623 
-0.884255  0.506527   -0.29068   0.0342095 
-0.884255  0.506527   -0.29068   0.0156378 
-0.862847  0.522647   -0.332648  0.0202344 
-0.832     0.491977   -0.246926  0.0140317 
-0.880248  0.528622   -0.315521  0.0114159 
-0.895506  0.626636   -0.406913  0.00730351
-0.815708  0.591329   -0.454385  0.00724687
-0.815708  0.591329   -0.454385  0.0177311 
-0.853148  0.653502   -0.406917  0.00808742
-0.831771  0.623925   -0.421863  0.0128165 
-0.831771  0.623925   -0.421863  0.0155513 
-0.780241  0.706185   -0.403198  0.0208184 
-0.780241  0.706185   -0.403198  0.0196996 
-0.705536  0.793167   -0.305742  0.0248775 
-0.690624  0.82857    -0.286894  0.0199365 
-0.786277  0.757635   -0.361158  0.0128868 
-0.784938  0.705628   -0.406437  0.0114931 
-0.873813  0.657552   -0.41508   0.0174837 
-0.921692  0.681149   -0.33421   0.0192533 
-0.921692  0.681149   -0.33421   0.023731  
-0.917083  0.70014    -0.303634  0.0236341 
-0.971401  0.718044   -0.23615   0.0221447 
-0.873667  0.688938   -0.333461  0.0304822 
-0.911092  0.779073   -0.194663  0.0217177 
-0.837816  0.769043   -0.345203  0.0131011 
-0.771908  0.705613   -0.404934  0.00622   
-0.727431  0.613911   -0.422609  0.0062984 
-0.78058   0.606901   -0.429352  0.0198587 
-0.78058   0.606901   -0.429352  0.00812658
-0.86135   0.60186    -0.439896  0.0144314 
-0.86135   0.60186    -0.439896  0.00569765
-0.79498   0.612964   -0.447338  0.01556   
-0.79498   0.612964   -0.447338  0.00653287
-0.794723  0.604322   -0.453812  0.0176592 
-0.794723  0.604322   -0.453812  0.0102581 
-0.765953  0.560601   -0.433024  0.0133399 
-0.712884  0.534208   -0.382127  0.00906033
-0.794315  0.56606    -0.424544  0.0090423 
-0.891784  0.575642   -0.410974  0.0100671 
-0.921195  0.580803   -0.365606  0.0190623 
-0.906609  0.502571   -0.252827  0.0366241 
-0.906609  0.502571   -0.252827  0.0212714 
-0.922492  0.489293   -0.214038  0.0388014 
-0.922492  0.489293   -0.214038  0.0140978 
-0.923235  0.523463   -0.256225  0.0116021 
-0.977619  0.601054   -0.338917  0.0116187 
-0.923535  0.553442   -0.320122  0.0250524 
-0.923535  0.553442   -0.320122  0.0157138 
-0.892702  0.520687   -0.300878  0.0168084 
-0.904302  0.506203   -0.205101  0.0242665 
-0.895706  0.472485   -0.143857  0.0267627 
-0.965286  0.451724   -0.00651   0.0138148 
-0.933634  0.533648   -0.300205  0.0200856 
-0.939087  0.48886    -0.140201  0.0116708 
-1.00615   0.58238    -0.27531   0.0105101 
-0.919047  0.634551   -0.389996  0.011885  
-0.919047  0.634551   -0.389996  0.00939138
-0.926574  0.586373   -0.367489  0.00732026
-0.828094  0.61409    -0.445759  0.00992673
-0.745919  0.561991   -0.43104   0.00749162
-0.681815  0.604078   -0.37764   0.0110283 
-0.638587  0.570339   -0.359434  0.00747631
-0.679526  0.603521   -0.383236  0.0109433 
-0.679526  0.603521   -0.383236  0.0157121 
-0.71331   0.517871   -0.336382  0.00954269
-0.621653  0.599096   -0.342843  0.00895806
-0.71289   0.609273   -0.416325  0.0152589 
-0.734294  0.521782   -0.351814  0.0100226 
-0.820528  0.565549   -0.423522  0.0137848 
-0.890615  0.621224   -0.406423  0.0136126 
-0.94206   0.534494   -0.3091    0.0134755 
-0.874295  0.536505   -0.354041  0.0194043 
-0.874295  0.536505   -0.354041  0.0255975 
-0.777238  0.473509   -0.212514  0.0190738 
-0.71347   0.495101   -0.283231  0.0109749 
-0.673349  0.555147   -0.365796  0.012468  
-0.586296  0.550884   -0.26407   0.0143071 
