#ENERGY    ERROR     
-0.442384  0.00583566
-0.442365  0.00581312
-0.442243  0.00579199
-0.442345  0.00577065
-0.44268   0.0057583 
-0.442896  0.00574043
-0.443043  0.00572054
-0.44323   0.00570199
-0.443105  0.00568189
-0.443647  0.00568644
-0.443732  0.00566582
-0.443826  0.00564549
-0.443801  0.0056246 
-0.443823  0.00560385
-0.443688  0.00558484
-0.443875  0.00556747
-0.444006  0.00554868
-0.443952  0.00552873
-0.443687  0.00551504
-0.443752  0.00549548
-0.443738  0.00547569
-0.443706  0.00545613
-0.443679  0.00543667
-0.443677  0.00541729
-0.443104  0.00542834
-0.443348  0.00541465
-0.443456  0.00539662
-0.443538  0.00537828
-0.44359   0.00535969
-0.443888  0.00534931
-0.443865  0.00533075
-0.443905  0.00531242
-0.443794  0.00529524
-0.443905  0.00527819
-0.443891  0.0052601 
-0.443875  0.00524214
-0.443725  0.00522643
-0.443741  0.00520871
-0.443465  0.00519841
-0.44357   0.00518195
-0.443397  0.00516743
-0.443375  0.00515016
-0.443678  0.00514191
-0.44374   0.00512517
-0.443909  0.00511098
-0.444064  0.00509644
-0.443899  0.00508233
-0.443795  0.00506671
-0.444072  0.00505769
-0.444026  0.0050414 
-0.443878  0.00502716
-0.443931  0.00501114
-0.443975  0.00499515
-0.44312   0.00505193
-0.442862  0.00504233
-0.442884  0.00502624
-0.442815  0.00501069
-0.442918  0.00499582
-0.443361  0.00499959
-0.443348  0.00498381
-0.443439  0.00496895
-0.443409  0.00495344
-0.443127  0.00494601
-0.443497  0.00494445
-0.443732  0.00493467
-0.443856  0.00492094
-0.443838  0.00490576
-0.443764  0.00489121
-0.443722  0.00487636
-0.443967  0.00486762
-0.44412   0.00485517
-0.444324  0.00484468
-0.444428  0.0048311 
-0.444598  0.00481947
-0.444808  0.0048095 
-0.444648  0.00479771
-0.444907  0.00479033
-0.444996  0.00477685
-0.445168  0.00476571
-0.445207  0.00475171
-0.445094  0.00473898
-0.445316  0.0047302 
-0.445148  0.00471928
-0.444876  0.00471327
-0.445092  0.00470442
-0.445242  0.0046931 
-0.445405  0.00468226
-0.445573  0.00467169
-0.445125  0.00467967
-0.445487  0.00468018
-0.445677  0.0046706 
-0.445583  0.00465814
-0.445678  0.00464578
-0.445575  0.00463368
-0.445439  0.0046225 
-0.445523  0.00461014
-0.445846  0.00460843
-0.445879  0.00459555
-0.445855  0.00458268
-0.446071  0.00457492
-0.446544  0.00458656
-0.446673  0.00457559
-0.446836  0.00456578
-0.446687  0.00455557
-0.446699  0.00454298
-0.446997  0.00454023
-0.446903  0.00452873
-0.446721  0.00451993
-0.44697   0.00451441
-0.447088  0.00450363
-0.447284  0.00449569
-0.447214  0.00448403
-0.447385  0.00447515
-0.446966  0.00448273
-0.447038  0.00447125
-0.446999  0.00445941
-0.44694   0.00444787
-0.44679   0.00443852
-0.446477  0.0044378 
-0.446217  0.0044336 
-0.446358  0.00442411
-0.4464    0.00441262
-0.446529  0.00440286
-0.446627  0.0043924 
-0.446697  0.00438145
-0.446722  0.00437006
-0.446758  0.00435882
-0.446626  0.00434948
-0.446675  0.00433848
-0.446328  0.0043412 
-0.446355  0.00433009
-0.44652   0.0043221 
-0.446232  0.0043206 
-0.446239  0.00430954
-0.445982  0.00430616
-0.446052  0.00429575
-0.446058  0.00428483
-0.445992  0.00427447
-0.446112  0.00426536
-0.446263  0.00425728
-0.446297  0.0042467 
-0.446376  0.00423677
-0.446397  0.00422622
-0.446381  0.0042157 
-0.44642   0.00420538
-0.446241  0.00419873
-0.446189  0.00418866
-0.445955  0.00418481
-0.446023  0.00417504
-0.446196  0.00416836
-0.446408  0.00416355
-0.446254  0.00415622
-0.446223  0.00414618
-0.446196  0.00413617
-0.446237  0.00412631
-0.446117  0.00411805
-0.446462  0.00412257
-0.446549  0.00411354
-0.446409  0.00410603
-0.446058  0.00411116
-0.446045  0.00410133
-0.44584   0.00409666
-0.445458  0.0041047 
-0.445177  0.0041046 
-0.445316  0.00409721
-0.445365  0.00408781
-0.445402  0.00407832
-0.445426  0.00406879
-0.44537   0.00405961
-0.445482  0.00405165
-0.445364  0.00404389
-0.445331  0.00403459
-0.445462  0.00402734
-0.4454    0.00401847
-0.445535  0.00401144
-0.445799  0.0040109 
-0.445765  0.0040018 
-0.4457    0.00399312
-0.445749  0.00398425
-0.445816  0.00397568
-0.445968  0.00396952
-0.446118  0.00396332
-0.444825  0.00416049
-0.444672  0.00415384
-0.444473  0.00414921
-0.444356  0.00414149
-0.444075  0.00414171
-0.444077  0.00413239
-0.443941  0.00412536
-0.44403   0.0041171 
-0.444105  0.00410857
-0.444031  0.00410006
-0.444008  0.00409101
-0.443954  0.00408229
-0.443974  0.0040733 
-0.444135  0.00406749
-0.444142  0.00405852
-0.4441    0.00404981
-0.443806  0.00405161
-0.443871  0.00404327
-0.442926  0.00414364
-0.442618  0.00414606
-0.442434  0.00414112
-0.44237   0.00413263
-0.442513  0.00412615
-0.442652  0.00411957
-0.442815  0.00411391
-0.442767  0.00410533
-0.443008  0.00410356
-0.44313   0.0040966 
-0.443194  0.00408834
-0.443117  0.00408035
-0.443201  0.00407253
-0.443135  0.0040644 
-0.442961  0.00405951
-0.443069  0.00405233
-0.443069  0.00404377
-0.443027  0.00403546
-0.442902  0.00402894
-0.44306   0.00402359
-0.443178  0.0040169 
-0.443135  0.00400874
-0.443119  0.00400041
-0.442772  0.00400711
-0.442865  0.00399986
-0.44292   0.00399195
-0.442892  0.00398379
-0.442608  0.00398568
-0.442636  0.00397757
-0.44262   0.00396942
-0.442608  0.0039613 
-0.442649  0.00395339
-0.44279   0.00394784
-0.442966  0.00394371
-0.443055  0.00393671
-0.443154  0.00392996
-0.443173  0.00392204
-0.44318   0.00391412
-0.443131  0.00390652
-0.443067  0.00389918
-0.443323  0.00389979
-0.442949  0.00390993
-0.442938  0.00390211
-0.443018  0.00389515
-0.442992  0.00388747
-0.442932  0.0038802 
-0.442878  0.00387286
-0.443012  0.00386751
-0.442931  0.00386071
-0.442713  0.00385928
-0.442657  0.00385209
-0.442646  0.00384453
-0.442698  0.00383733
-0.44267   0.00382992
-0.442363  0.00383474
-0.442338  0.00382733
-0.442457  0.00382172
-0.442365  0.00381538
-0.44228   0.00380895
-0.442321  0.0038018 
-0.442279  0.00379469
-0.442323  0.00378763
-0.442304  0.00378039
-0.441986  0.0037865 
-0.441962  0.00377932
-0.441902  0.00377257
-0.441975  0.00376606
-0.441989  0.00375891
-0.441978  0.00375177
-0.442013  0.00374481
-0.44214   0.00373985
-0.442186  0.00373306
-0.442183  0.00372602
-0.442117  0.00371957
-0.441976  0.00371527
-0.441857  0.00371021
-0.441909  0.00370363
-0.44217   0.00370587
-0.442274  0.00370042
-0.44234   0.0036941 
-0.442485  0.00369009
-0.442584  0.00368456
-0.442598  0.00367776
-0.442243  0.00368805
-0.442328  0.00368221
-0.442423  0.00367665
-0.44236   0.00367043
-0.44248   0.00366565
-0.442459  0.00365899
-0.442427  0.00365243
-0.442421  0.00364577
-0.442336  0.0036401 
-0.442172  0.0036372 
-0.44209   0.00363151
-0.442088  0.00362493
-0.442066  0.00361843
-0.442318  0.00362065
-0.442398  0.003615  
-0.442404  0.0036085 
-0.442405  0.00360201
-0.44239   0.00359559
-0.442413  0.00358922
-0.442519  0.0035844 
-0.44247   0.00357834
-0.442543  0.00357272
-0.442551  0.00356637
-0.442652  0.0035615 
-0.44265   0.00355519
-0.442568  0.00354986
-0.442608  0.00354383
-0.442604  0.00353758
-0.44251   0.00353261
-0.442597  0.00352749
-0.442621  0.00352139
-0.442703  0.00351618
-0.442576  0.00351232
-0.442709  0.00350869
-0.442691  0.00350263
-0.442552  0.0034993 
-0.442578  0.00349333
-0.442796  0.00349411
-0.442564  0.00349584
-0.442538  0.0034899 
-0.442437  0.00348534
-0.442554  0.0034813 
-0.442451  0.00347683
-0.442433  0.00347092
-0.4425    0.00346562
-0.442684  0.00346459
-0.442793  0.0034604 
-0.443074  0.00346591
-0.443124  0.00346038
-0.44328   0.00345801
-0.443212  0.00345281
-0.443321  0.00344869
-0.44342   0.0034443 
-0.443417  0.0034385 
-0.443249  0.00343681
-0.443362  0.00343288
-0.443483  0.00342928
-0.443547  0.00342414
-0.443587  0.00341865
-0.443568  0.003413  
-0.44351   0.0034078 
-0.443646  0.00340484
-0.443587  0.0033997 
-0.443771  0.00339908
-0.443876  0.00339507
-0.443837  0.00338969
-0.443793  0.00338438
-0.443929  0.00338152
-0.443833  0.00337734
-0.44386   0.0033719 
-0.443879  0.00336644
-0.443833  0.00336124
-0.443844  0.00335578
-0.443822  0.00335038
-0.443864  0.00334518
-0.443839  0.00333984
-0.443768  0.00333518
-0.443905  0.00333259
-0.443808  0.00332859
-0.44343   0.00334465
-0.443404  0.00333936
-0.443473  0.00333471
-0.44353   0.00332984
-0.443579  0.00332485
-0.443733  0.00332309
-0.443606  0.00332019
-0.443744  0.00331776
-0.443887  0.00331553
-0.443717  0.00331461
-0.443682  0.00330952
-0.443641  0.00330453
-0.443681  0.00329955
-0.443358  0.00331017
-0.443185  0.00330947
-0.443302  0.00330634
-0.443254  0.00330149
-0.443263  0.00329631
-0.443189  0.00329197
-0.443205  0.00328685
-0.443265  0.00328227
-0.443393  0.00327964
-0.443526  0.00327721
-0.443429  0.00327354
-0.443514  0.00326955
-0.443554  0.00326473
-0.443592  0.00325989
-0.443638  0.00325517
-0.443703  0.00325078
-0.443694  0.00324578
-0.443441  0.00325065
-0.44355   0.00324749
-0.443504  0.00324283
-0.443415  0.00323909
-0.443416  0.00323413
-0.443451  0.00322938
-0.443382  0.00322519
-0.443428  0.0032206 
-0.443397  0.00321586
-0.443408  0.00321099
-0.443509  0.00320772
-0.443549  0.0032031 
-0.443502  0.00319859
-0.443477  0.00319386
-0.443503  0.00318915
-0.443507  0.00318436
-0.443552  0.00317988
-0.443593  0.00317539
-0.443613  0.00317069
-0.443646  0.00316612
-0.443744  0.00316289
-0.443593  0.00316177
-0.44368   0.00315826
-0.443761  0.00315461
-0.443824  0.00315055
-0.443991  0.00315031
-0.443948  0.00314594
-0.443883  0.00314195
-0.443944  0.00313789
-0.44396   0.00313331
-0.44394   0.00312875
-0.443774  0.00312861
-0.443795  0.00312409
-0.44367   0.00312201
-0.443704  0.00311762
-0.443698  0.00311307
-0.443658  0.00310879
-0.443632  0.00310437
-0.443512  0.00310217
-0.443415  0.00309918
-0.443388  0.0030948 
-0.44324   0.00309387
-0.443299  0.00308996
-0.443001  0.00309986
-0.442943  0.00309593
-0.442909  0.00309166
-0.443062  0.00309103
-0.443176  0.00308869
-0.443118  0.00308481
-0.443076  0.00308068
-0.443055  0.00307635
-0.443077  0.00307203
-0.443081  0.00306766
-0.442855  0.00307159
-0.442947  0.00306859
-0.442828  0.00306654
-0.442762  0.0030629 
-0.442692  0.00305937
-0.442718  0.00305515
-0.442791  0.00305172
-0.442904  0.0030495 
-0.442884  0.00304528
-0.442938  0.00304149
-0.442973  0.00303742
-0.44262   0.00305359
-0.442404  0.00305696
-0.442493  0.00305398
-0.442432  0.00305034
-0.442383  0.00304648
-0.44226   0.00304471
-0.442306  0.00304083
-0.442287  0.00303667
-0.442185  0.00303421
-0.442144  0.00303027
-0.442283  0.00302925
-0.442334  0.00302551
-0.441864  0.00305781
-0.441884  0.00305367
-0.441867  0.00304952
-0.441918  0.00304577
-0.442023  0.00304341
-0.442067  0.00303956
-0.441945  0.00303784
-0.441908  0.00303392
-0.441972  0.00303046
-0.442102  0.00302912
-0.442121  0.00302506
-0.442079  0.00302125
-0.442103  0.00301725
-0.442204  0.00301487
-0.442374  0.00301559
-0.442456  0.00301263
-0.442351  0.00301039
-0.442418  0.00300708
-0.442467  0.00300343
-0.442584  0.0030017 
-0.442601  0.00299772
-0.442519  0.00299483
-0.442497  0.0029909 
-0.442604  0.00298879
-0.442592  0.00298482
-0.442621  0.00298099
-0.442583  0.00297726
-0.442603  0.00297337
-0.442629  0.00296953
-0.442533  0.00296715
-0.442525  0.00296323
-0.442453  0.00296017
-0.442509  0.00295678
-0.442412  0.00295447
-0.442447  0.00295079
-0.442622  0.00295209
-0.442699  0.00294922
-0.442646  0.00294583
-0.442733  0.00294328
-0.442639  0.00294093
-0.442693  0.00293758
-0.442694  0.00293375
-0.442704  0.00292994
-0.442771  0.00292691
-0.442817  0.00292347
-0.442816  0.00291968
-0.442769  0.00291627
-0.442757  0.00291252
-0.442799  0.00290907
-0.442924  0.00290799
-0.443015  0.00290567
-0.443054  0.00290219
-0.443089  0.00289867
-0.442996  0.00289645
-0.44294   0.00289327
-0.442986  0.00288993
-0.443032  0.00288661
-0.443116  0.00288414
-0.443135  0.00288052
-0.443133  0.00287685
-0.443088  0.00287353
-0.442953  0.00287308
-0.442949  0.00286943
-0.442936  0.00286582
-0.443094  0.00286655
-0.44314   0.00286329
-0.443253  0.00286192
-0.443331  0.00285936
-0.443454  0.00285839
-0.44352   0.00285556
-0.442962  0.00290604
-0.44295   0.00290242
-0.44293   0.00289884
-0.44303   0.00289694
-0.4431    0.00289418
-0.443186  0.00289183
-0.443158  0.00288836
-0.443117  0.00288505
-0.44304   0.0028825 
-0.442976  0.00287962
-0.443093  0.00287842
-0.443162  0.00287567
-0.443231  0.00287294
-0.44312   0.00287153
-0.443062  0.00286858
-0.442999  0.00286574
-0.443072  0.00286315
-0.443012  0.00286025
-0.443013  0.00285673
-0.44302   0.00285323
-0.442912  0.00285176
-0.442922  0.00284828
-0.442823  0.00284651
-0.442769  0.00284356
-0.442787  0.00284015
-0.442984  0.00284352
-0.443061  0.00284112
-0.442956  0.00283962
-0.443071  0.00283848
-0.443215  0.0028387 
-0.443267  0.00283574
-0.443322  0.00283283
-0.443293  0.00282956
-0.443308  0.00282618
-0.443255  0.00282327
-0.443389  0.00282308
-0.44348   0.00282116
-0.443601  0.00282034
-0.443251  0.00283853
-0.443218  0.00283533
-0.443234  0.00283198
-0.442724  0.00287416
-0.442688  0.00287095
-0.442755  0.00286829
-0.442764  0.00286489
-0.442719  0.00286185
-0.44274   0.00285852
-0.4427    0.00285541
-0.442761  0.00285266
-0.442754  0.00284929
-0.44264   0.00284822
-0.442488  0.00284892
-0.442444  0.0028459 
-0.44255   0.00284453
-0.442557  0.00284119
-0.442511  0.00283823
-0.442452  0.00283551
-0.4425    0.00283259
-0.442512  0.0028293 
-0.442565  0.00282649
-0.442487  0.00282426
-0.442464  0.00282106
-0.442457  0.00281778
-0.442561  0.0028164 
-0.442584  0.00281321
-0.442549  0.00281016
-0.442551  0.0028069 
-0.442616  0.00280439
-0.442632  0.00280119
-0.442643  0.00279797
-0.442549  0.0027963 
-0.442568  0.00279314
-0.442489  0.00279105
-0.442454  0.00278806
-0.442474  0.00278493
-0.442501  0.00278186
-0.442522  0.00277874
-0.442276  0.00278648
-0.442268  0.0027833 
-0.442279  0.00278013
-0.442217  0.00277765
-0.442371  0.00277879
-0.44234   0.0027758 
-0.442324  0.00277269
-0.442243  0.00277073
-0.442244  0.00276758
-0.44229   0.00276482
-0.442323  0.00276188
-0.442344  0.00275884
-0.442305  0.002756  
-0.442295  0.00275291
-0.442267  0.00274994
-0.442401  0.00275011
-0.44236   0.00274732
-0.442331  0.00274439
-0.442068  0.0027539 
-0.442228  0.00275544
-0.442268  0.00275265
-0.442194  0.00275057
-0.442048  0.00275136
-0.442022  0.00274842
-0.441854  0.00275043
-0.441861  0.00274738
-0.441879  0.00274438
-0.442057  0.00274709
-0.442125  0.00274488
-0.442138  0.00274186
