#MU        SIGMA      ENERGY     ERROR     
-0.773321  0.693999   -0.437194  0.0206913 
-0.7793    0.746435   -0.356536  0.0268409 
-0.7793    0.746435   -0.356536  0.0103065 
-0.720684  0.685003   -0.400738  0.0173747 
-0.720684  0.685003   -0.400738  0.00633016
-0.796156  0.624326   -0.445228  0.0145706 
-0.796156  0.624326   -0.445228  0.00687454
-0.734165  0.647976   -0.416323  0.0296784 
-0.763735  0.706502   -0.358398  0.0110219 
-0.673634  0.649866   -0.38143   0.00952587
-0.673634  0.649866   -0.38143   0.0117199 
-0.673634  0.649866   -0.38143   0.0112209 
-0.673634  0.649866   -0.38143   0.0144687 
-0.673634  0.649866   -0.38143   0.00902446
-0.712669  0.712845   -0.408501  0.00883715
-0.712669  0.712845   -0.408501  0.0092291 
-0.682682  0.66858    -0.381724  0.0111346 
-0.749124  0.692972   -0.414061  0.0120779 
-0.749124  0.692972   -0.414061  0.0160994 
-0.773487  0.714526   -0.388428  0.00975734
-0.746906  0.640302   -0.432807  0.010343  
-0.746906  0.640302   -0.432807  0.00879805
-0.808486  0.627186   -0.432118  0.00752808
-0.803147  0.596322   -0.444651  0.0188995 
-0.803147  0.596322   -0.444651  0.0144941 
-0.803147  0.596322   -0.444651  0.0090497 
-0.873871  0.572517   -0.409011  0.00915331
-0.885109  0.588728   -0.413722  0.0154816 
-0.885109  0.588728   -0.413722  0.0202698 
-0.885109  0.588728   -0.413722  0.0106627 
-0.843657  0.656356   -0.422729  0.0216564 
-0.843657  0.656356   -0.422729  0.00815182
-0.834323  0.638869   -0.440521  0.00894195
-0.857789  0.637899   -0.426801  0.0129535 
-0.857789  0.637899   -0.426801  0.0100442 
-0.76723   0.557441   -0.416071  0.0147647 
-0.804491  0.529462   -0.367008  0.0243279 
-0.804491  0.529462   -0.367008  0.032269  
-0.804491  0.529462   -0.367008  0.0322358 
-0.804491  0.529462   -0.367008  0.00988869
-0.764107  0.560319   -0.403046  0.00978628
-0.779151  0.565067   -0.431324  0.0167757 
-0.779151  0.565067   -0.431324  0.0109625 
-0.877085  0.629052   -0.413576  0.0087648 
-0.874803  0.62992    -0.428395  0.0115706 
-0.874803  0.62992    -0.428395  0.0220512 
-0.874803  0.62992    -0.428395  0.00945555
-0.922316  0.605122   -0.386533  0.0219657 
-0.922316  0.605122   -0.386533  0.022076  
-0.922316  0.605122   -0.386533  0.0164274 
-0.922316  0.605122   -0.386533  0.0285681 
-0.922316  0.605122   -0.386533  0.011937  
-0.922316  0.605122   -0.386533  0.0111301 
-0.922316  0.605122   -0.386533  0.0149147 
-0.922316  0.605122   -0.386533  0.0132133 
-0.922316  0.605122   -0.386533  0.0108542 
-0.922316  0.605122   -0.386533  0.0158852 
-0.922316  0.605122   -0.386533  0.0114585 
-0.904682  0.634523   -0.402576  0.0128324 
-0.904682  0.634523   -0.402576  0.00900767
-0.811054  0.662785   -0.437946  0.0238986 
-0.811054  0.662785   -0.437946  0.0075244 
-0.811054  0.662785   -0.437946  0.0106745 
-0.872335  0.639889   -0.422886  0.00873307
-0.785612  0.676125   -0.436409  0.0136325 
-0.785612  0.676125   -0.436409  0.00853313
-0.785612  0.676125   -0.436409  0.00701206
-0.841236  0.643356   -0.454882  0.0108371 
-0.829517  0.677215   -0.423927  0.0194651 
-0.829517  0.677215   -0.423927  0.0129605 
-0.873294  0.631718   -0.40776   0.0167784 
-0.873294  0.631718   -0.40776   0.00916513
-0.851455  0.569813   -0.430842  0.0183749 
-0.851455  0.569813   -0.430842  0.0171973 
-0.851455  0.569813   -0.430842  0.00563845
-0.799092  0.626073   -0.456211  0.0142454 
-0.799092  0.626073   -0.456211  0.00867646
-0.799092  0.626073   -0.456211  0.00886588
-0.719634  0.650095   -0.40742   0.00828819
-0.719634  0.650095   -0.40742   0.00730732
-0.722592  0.602095   -0.430766  0.00751058
-0.676195  0.619607   -0.390831  0.00854795
-0.771025  0.671163   -0.429485  0.018548  
-0.771025  0.671163   -0.429485  0.021603  
-0.771025  0.671163   -0.429485  0.012223  
-0.771025  0.671163   -0.429485  0.0221077 
-0.771025  0.671163   -0.429485  0.0171124 
-0.838978  0.718897   -0.37795   0.0248772 
-0.838978  0.718897   -0.37795   0.0101081 
-0.902201  0.619887   -0.40474   0.0145985 
-0.81241   0.714865   -0.39514   0.0231195 
-0.81241   0.714865   -0.39514   0.0183748 
-0.765992  0.69773    -0.399741  0.0200176 
-0.709089  0.766236   -0.359556  0.0148985 
-0.773489  0.755728   -0.387773  0.0192803 
-0.773489  0.755728   -0.387773  0.0301878 
-0.773489  0.755728   -0.387773  0.0453303 
-0.773489  0.755728   -0.387773  0.0166486 
-0.773489  0.755728   -0.387773  0.0305734 
-0.773489  0.755728   -0.387773  0.0288    
-0.773489  0.755728   -0.387773  0.0313203 
-0.773489  0.755728   -0.387773  0.0187305 
-0.852655  0.673424   -0.390504  0.0152348 
-0.862783  0.704406   -0.393603  0.0146014 
-0.820081  0.713461   -0.401446  0.0226187 
-0.820081  0.713461   -0.401446  0.00752861
-0.84891   0.616691   -0.442372  0.00835438
-0.84891   0.616691   -0.442372  0.0159059 
-0.84891   0.616691   -0.442372  0.0169014 
-0.84891   0.616691   -0.442372  0.0146555 
-0.84891   0.616691   -0.442372  0.0128732 
-0.813805  0.673726   -0.41983   0.017095  
-0.862164  0.679175   -0.378845  0.00715591
-0.869886  0.61409    -0.437206  0.0187577 
-0.869886  0.61409    -0.437206  0.00944434
-0.835485  0.585905   -0.429207  0.0122302 
-0.85158   0.657726   -0.412867  0.010868  
-0.824502  0.561136   -0.407781  0.0147139 
-0.785596  0.529899   -0.38326   0.0348601 
-0.785596  0.529899   -0.38326   0.0126924 
-0.70027   0.534598   -0.349818  0.0248072 
-0.70027   0.534598   -0.349818  0.0181476 
-0.70027   0.534598   -0.349818  0.0123197 
-0.669189  0.533186   -0.317964  0.0105084 
-0.623916  0.57101    -0.321018  0.00952263
-0.621557  0.615433   -0.334746  0.0165842 
-0.622723  0.701145   -0.338462  0.00903915
-0.699773  0.679336   -0.402668  0.0107519 
-0.699773  0.679336   -0.402668  0.00764039
-0.683585  0.604771   -0.389843  0.00990362
-0.621184  0.591823   -0.320599  0.0115554 
-0.621184  0.591823   -0.320599  0.00817368
-0.656403  0.608105   -0.383295  0.011617  
-0.656403  0.608105   -0.383295  0.0148648 
-0.656403  0.608105   -0.383295  0.0111747 
-0.656403  0.608105   -0.383295  0.00681549
-0.732409  0.626071   -0.42087   0.00684097
-0.70109   0.641647   -0.412959  0.0104829 
-0.776212  0.555827   -0.396811  0.0219437 
-0.776212  0.555827   -0.396811  0.0104022 
-0.714775  0.556829   -0.398605  0.0195297 
-0.714775  0.556829   -0.398605  0.0207604 
-0.714775  0.556829   -0.398605  0.0118242 
-0.714775  0.556829   -0.398605  0.00814932
-0.697234  0.610638   -0.402842  0.00960443
-0.623567  0.685128   -0.367212  0.0199032 
-0.714701  0.719141   -0.394514  0.00862231
-0.768193  0.654425   -0.428951  0.00741494
-0.741023  0.598861   -0.420512  0.00894365
-0.741023  0.598861   -0.420512  0.00785603
-0.687162  0.586721   -0.395689  0.00855358
-0.722277  0.670454   -0.406859  0.00923304
-0.722277  0.670454   -0.406859  0.0119    
-0.722277  0.670454   -0.406859  0.0167673 
-0.781329  0.753352   -0.357072  0.01614   
-0.733991  0.747946   -0.36121   0.0203414 
-0.758457  0.765051   -0.327525  0.00972313
-0.720862  0.71015    -0.411934  0.0172244 
-0.720862  0.71015    -0.411934  0.0206955 
-0.720862  0.71015    -0.411934  0.0165078 
-0.742341  0.757757   -0.36455   0.0207117 
-0.752241  0.740448   -0.364748  0.0277876 
-0.752241  0.740448   -0.364748  0.0211939 
-0.752241  0.740448   -0.364748  0.0334915 
-0.752241  0.740448   -0.364748  0.0121091 
-0.744678  0.710519   -0.400251  0.0146008 
-0.685597  0.650459   -0.375206  0.00725763
-0.703871  0.644429   -0.416998  0.00654716
-0.710065  0.619383   -0.412789  0.00956342
-0.710065  0.619383   -0.412789  0.00916808
-0.710065  0.619383   -0.412789  0.0112731 
-0.770037  0.55022    -0.403344  0.0236001 
-0.770037  0.55022    -0.403344  0.0196263 
-0.770037  0.55022    -0.403344  0.00698449
-0.695417  0.601274   -0.399241  0.00820408
-0.709689  0.576231   -0.393741  0.0122653 
-0.760875  0.673241   -0.41739   0.01193   
-0.760875  0.673241   -0.41739   0.022502  
-0.760875  0.673241   -0.41739   0.00764135
-0.681866  0.628549   -0.412778  0.0111426 
-0.679384  0.545793   -0.340946  0.0112035 
-0.722323  0.546832   -0.3877    0.00830827
-0.722323  0.546832   -0.3877    0.011787  
-0.670409  0.544235   -0.347171  0.0149351 
-0.670409  0.544235   -0.347171  0.0277471 
-0.670409  0.544235   -0.347171  0.0237035 
-0.670409  0.544235   -0.347171  0.0110613 
-0.632275  0.561321   -0.335367  0.00948516
-0.657673  0.56136    -0.342055  0.0116278 
-0.657673  0.56136    -0.342055  0.00792614
-0.660404  0.634543   -0.399372  0.00789616
-0.660404  0.634543   -0.399372  0.00789121
-0.679453  0.648329   -0.389945  0.0233617 
-0.679453  0.648329   -0.389945  0.0106717 
-0.679453  0.648329   -0.389945  0.0206284 
-0.679453  0.648329   -0.389945  0.00794927
-0.735214  0.579001   -0.424445  0.00793795
-0.735214  0.579001   -0.424445  0.00809047
-0.792936  0.579451   -0.427769  0.0101807 
-0.762549  0.557164   -0.407998  0.0115702 
-0.844108  0.550266   -0.399504  0.0202561 
-0.844108  0.550266   -0.399504  0.00773354
-0.757023  0.586211   -0.425282  0.00587381
-0.834469  0.620579   -0.446987  0.0113547 
-0.834469  0.620579   -0.446987  0.019732  
-0.834469  0.620579   -0.446987  0.0142777 
-0.852288  0.664599   -0.404044  0.00774018
-0.854204  0.58859    -0.432148  0.0125441 
-0.798179  0.544317   -0.399205  0.00623323
-0.78011   0.605152   -0.449888  0.00899044
-0.867102  0.630468   -0.421582  0.0207665 
-0.948836  0.699127   -0.301253  0.0292223 
-0.948836  0.699127   -0.301253  0.0150936 
-0.938804  0.658894   -0.336441  0.0136669 
-0.938804  0.658894   -0.336441  0.0163364 
-0.918816  0.660496   -0.364113  0.00904321
-0.857117  0.570176   -0.40875   0.0160716 
-0.857117  0.570176   -0.40875   0.0106574 
-0.857117  0.570176   -0.40875   0.0142339 
-0.857117  0.570176   -0.40875   0.00941574
-0.859864  0.564211   -0.402427  0.0152688 
-0.859864  0.564211   -0.402427  0.0107889 
-0.813213  0.658312   -0.417684  0.00873967
-0.846564  0.60932    -0.430517  0.00801669
-0.875473  0.608285   -0.425349  0.00964226
-0.837182  0.630869   -0.433912  0.00597053
-0.758993  0.610066   -0.44466   0.0118414 
-0.758993  0.610066   -0.44466   0.00818634
-0.838814  0.602528   -0.436246  0.010577  
-0.915149  0.609809   -0.39058   0.0284356 
-0.915149  0.609809   -0.39058   0.011288  
-0.849655  0.655922   -0.415179  0.012246  
-0.849655  0.655922   -0.415179  0.00793427
-0.801262  0.641703   -0.436738  0.00792714
-0.795668  0.633177   -0.445527  0.0174861 
-0.795668  0.633177   -0.445527  0.0085424 
-0.800658  0.59322    -0.430367  0.0133335 
-0.800658  0.59322    -0.430367  0.0118783 
-0.800658  0.59322    -0.430367  0.00806074
-0.832957  0.579934   -0.435333  0.0125208 
-0.832957  0.579934   -0.435333  0.00927728
-0.832957  0.579934   -0.435333  0.0102213 
-0.832957  0.579934   -0.435333  0.0127383 
-0.832957  0.579934   -0.435333  0.00842481
-0.81501   0.636505   -0.439896  0.0117824 
-0.81501   0.636505   -0.439896  0.0150051 
-0.81501   0.636505   -0.439896  0.00957447
-0.81501   0.636505   -0.439896  0.0120723 
-0.894878  0.618129   -0.406271  0.00764984
-0.85526   0.596844   -0.442158  0.0128692 
-0.85526   0.596844   -0.442158  0.0105112 
-0.85526   0.596844   -0.442158  0.00701696
-0.782112  0.605703   -0.439786  0.00778292
-0.782112  0.605703   -0.439786  0.0134623 
-0.782112  0.605703   -0.439786  0.0148775 
-0.836774  0.662812   -0.403649  0.010762  
-0.79239   0.563246   -0.404299  0.00909102
