#MU        SIGMA      ENERGY     ERROR     
0.765824   0.653289   -0.4276    0.00720075
0.814859   0.615514   -0.442424  0.00639583
0.730339   0.624545   -0.440753  0.00710724
0.70518    0.612368   -0.411415  0.00936751
0.70518    0.612368   -0.411415  0.0092274 
0.744072   0.703961   -0.42012   0.0187432 
0.744072   0.703961   -0.42012   0.0154251 
0.693718   0.791562   -0.349742  0.013139  
0.623453   0.713824   -0.340781  0.0122572 
0.623453   0.713824   -0.340781  0.0117264 
0.623453   0.713824   -0.340781  0.0120271 
0.578524   0.674628   -0.316964  0.0132268 
0.52012    0.774561   -0.290992  0.0186059 
0.539018   0.785928   -0.270575  0.0205467 
0.609246   0.792151   -0.291224  0.0250565 
0.630847   0.81167    -0.339634  0.0209991 
0.609609   0.827884   -0.263511  0.0171487 
0.611626   0.81518    -0.316762  0.0172662 
0.683364   0.77182    -0.320948  0.0180855 
0.683364   0.77182    -0.320948  0.0205925 
0.683364   0.77182    -0.320948  0.0155739 
0.668207   0.796623   -0.326115  0.0176164 
0.618259   0.788874   -0.317432  0.0126684 
0.556608   0.718637   -0.30045   0.0145485 
0.574233   0.79763    -0.307491  0.0188503 
0.574233   0.79763    -0.307491  0.028445  
0.574233   0.79763    -0.307491  0.0121401 
0.673875   0.71468    -0.360679  0.0118432 
0.59757    0.728341   -0.324995  0.00986948
0.620901   0.682225   -0.335583  0.0134104 
0.525978   0.665796   -0.262512  0.0166861 
0.448686   0.6461     -0.159599  0.0161418 
0.426807   0.708637   -0.192655  0.0155978 
0.464191   0.694234   -0.189555  0.0152515 
0.464191   0.694234   -0.189555  0.0145074 
0.464191   0.694234   -0.189555  0.0152929 
0.464232   0.785548   -0.248384  0.0163654 
0.482909   0.848834   -0.259798  0.0219629 
0.482909   0.848834   -0.259798  0.029337  
0.496398   0.903233   -0.253147  0.0142364 
0.438592   0.809943   -0.26913   0.0184745 
0.385289   0.874938   -0.230064  0.0228164 
0.435551   0.96321    -0.270618  0.0426    
0.435551   0.96321    -0.270618  0.0174586 
0.444596   0.902459   -0.260427  0.0343015 
0.444596   0.902459   -0.260427  0.0179067 
0.444596   0.902459   -0.260427  0.0164343 
0.444596   0.902459   -0.260427  0.0237346 
0.444596   0.902459   -0.260427  0.0243165 
0.423764   0.879615   -0.265068  0.0176947 
0.452784   0.804002   -0.248137  0.0136761 
0.515698   0.768792   -0.264812  0.0165098 
0.515698   0.768792   -0.264812  0.0148786 
0.574609   0.722488   -0.307514  0.00982147
0.632608   0.695935   -0.351501  0.00946095
0.631465   0.619822   -0.360535  0.0131227 
0.631465   0.619822   -0.360535  0.0110186 
0.67841    0.703801   -0.363806  0.0119505 
0.746075   0.697016   -0.410337  0.0262301 
0.746075   0.697016   -0.410337  0.0152588 
0.750583   0.769265   -0.351565  0.0113759 
0.784979   0.687503   -0.414418  0.00708599
0.796186   0.604053   -0.433123  0.0080875 
0.753261   0.576257   -0.424087  0.00936863
0.788194   0.569033   -0.430379  0.0113331 
0.814309   0.65189    -0.417096  0.00721285
0.756496   0.626526   -0.432485  0.00781007
0.756496   0.626526   -0.432485  0.00739426
0.773105   0.586881   -0.444504  0.0118896 
0.773105   0.586881   -0.444504  0.0164683 
0.773105   0.586881   -0.444504  0.00742521
0.781799   0.592646   -0.443192  0.00808305
0.781799   0.592646   -0.443192  0.010746  
0.801853   0.555866   -0.434906  0.00721838
0.711555   0.606713   -0.432102  0.00759117
0.673251   0.629765   -0.400438  0.0112546 
0.673251   0.629765   -0.400438  0.011343  
0.726167   0.661465   -0.398659  0.0149525 
0.726167   0.661465   -0.398659  0.00965532
0.6742     0.679832   -0.391622  0.00924767
0.64383    0.600989   -0.379295  0.0130735 
0.64383    0.600989   -0.379295  0.0119922 
0.64383    0.600989   -0.379295  0.0158165 
0.64383    0.600989   -0.379295  0.0128519 
0.64383    0.600989   -0.379295  0.00850731
0.718101   0.576916   -0.412668  0.0087318 
0.718101   0.576916   -0.412668  0.0116304 
0.769068   0.670989   -0.413245  0.0134418 
0.769068   0.670989   -0.413245  0.00720949
0.754075   0.594608   -0.436215  0.0148419 
0.754075   0.594608   -0.436215  0.0083811 
0.754075   0.594608   -0.436215  0.00795694
0.754075   0.594608   -0.436215  0.0100309 
0.829469   0.559684   -0.412346  0.0125247 
0.916929   0.619155   -0.379153  0.0119583 
0.943345   0.540223   -0.293784  0.0167839 
0.943345   0.540223   -0.293784  0.0268427 
0.943345   0.540223   -0.293784  0.0251648 
0.943345   0.540223   -0.293784  0.0129168 
0.943345   0.540223   -0.293784  0.015126  
0.8565     0.521337   -0.308803  0.030933  
0.8565     0.521337   -0.308803  0.0268122 
0.8565     0.521337   -0.308803  0.0210494 
0.927191   0.487437   -0.207612  0.0440354 
0.927191   0.487437   -0.207612  0.0241699 
0.927191   0.487437   -0.207612  0.0338729 
0.927191   0.487437   -0.207612  0.0186708 
0.927191   0.487437   -0.207612  0.0203183 
0.939523   0.482314   -0.105777  0.0114113 
0.902822   0.554806   -0.346005  0.0259127 
0.902822   0.554806   -0.346005  0.0068884 
0.833828   0.597873   -0.444176  0.0116625 
0.862885   0.599574   -0.416185  0.0125053 
0.862885   0.599574   -0.416185  0.00732451
0.844599   0.617132   -0.439661  0.0175443 
0.844599   0.617132   -0.439661  0.0117704 
0.770739   0.695301   -0.415857  0.00823652
0.725354   0.595473   -0.402868  0.00715537
0.739928   0.635296   -0.424367  0.0130571 
0.739928   0.635296   -0.424367  0.00820942
0.726841   0.656627   -0.41617   0.00936787
0.751812   0.688222   -0.423093  0.00718461
0.737813   0.588966   -0.43261   0.00988955
0.732976   0.661544   -0.411748  0.00899357
0.752823   0.588308   -0.419416  0.00735084
0.752823   0.588308   -0.419416  0.00997763
0.729442   0.557507   -0.391681  0.00919962
0.715681   0.566501   -0.402092  0.0141518 
0.715681   0.566501   -0.402092  0.0133414 
0.753221   0.531315   -0.373947  0.0113032 
0.785804   0.549144   -0.399124  0.0169579 
0.785804   0.549144   -0.399124  0.0141214 
0.73213    0.532416   -0.367897  0.00745716
0.723722   0.590365   -0.416131  0.0107914 
