#MU        SIGMA      ENERGY     ERROR     
0.264539   1.15501    -0.13249   0.0324745 
0.353051   1.11931    -0.171547  0.0281082 
0.316159   1.04438    -0.241869  0.021223  
0.243965   0.985845   -0.235456  0.0418665 
0.322114   1.06522    -0.220132  0.0444425 
0.304164   1.08864    -0.175713  0.0425238 
0.308381   1.12646    -0.118785  0.036899  
0.265403   1.05654    -0.169877  0.0182216 
0.199191   0.987794   -0.27258   0.0239514 
0.167867   1.05354    -0.215482  0.0362322 
0.134693   1.13003    -0.158471  0.0245364 
0.212798   1.03436    -0.249961  0.0321703 
0.243254   1.02198    -0.251307  0.0206404 
0.197448   1.00317    -0.242947  0.0328795 
0.116891   1.05265    -0.229225  0.0288631 
0.0684176  1.15205    -0.206193  0.0465334 
0.0684176  1.15205    -0.206193  0.0181433 
0.0411507  1.07104    -0.287639  0.0193549 
0.0411507  1.07104    -0.287639  0.027256  
0.0680124  1.0461     -0.255923  0.0176585 
0.0561664  0.98381    -0.260968  0.018933  
-0.00255828 1.04984    -0.269525  0.0200155 
-0.0378787 0.964728   -0.221578  0.0224031 
-0.0772677 1.01311    -0.251024  0.0205673 
-0.149477  0.934909   -0.209192  0.0212639 
-0.125176  0.982046   -0.226695  0.0155715 
-0.0653828 0.917726   -0.262259  0.0162715 
0.00155005 0.977122   -0.2549    0.0154963 
-0.00286942 0.921232   -0.250517  0.017121  
-0.00522472 0.948692   -0.234659  0.0141624 
-0.0837941 0.965669   -0.276061  0.0261347 
-0.0572862 0.993963   -0.209599  0.0194903 
0.0149542  0.998546   -0.248672  0.0254632 
-0.00492095 1.06599    -0.228174  0.0319677 
0.0499736  0.978344   -0.235367  0.019538  
-0.00910206 1.01415    -0.242916  0.0269445 
0.00370579 1.01138    -0.230661  0.0224921 
-0.0864601 0.969255   -0.2169    0.0172582 
-0.154631  0.998344   -0.281954  0.0385009 
-0.197343  1.08485    -0.155755  0.0765893 
-0.255345  1.16247    -0.0215837 0.0341954 
-0.288414  1.06588    -0.192844  0.0367538 
-0.225867  1.10305    -0.142436  0.0687434 
-0.184663  1.16707    -0.0622806 0.100219  
-0.128194  1.23652    0.0284371  0.0471948 
-0.22249   1.21523    -0.0910147 0.100411  
-0.296587  1.26267    0.228402   0.104585  
-0.296587  1.26267    0.228402   0.0831685 
-0.31566   1.17464    0.0546049  0.0567029 
-0.409874  1.1719     0.0190286  0.092401  
-0.366673  1.21014    0.140535   0.0523619 
-0.329864  1.20489    -0.0931726 0.0383789 
-0.411061  1.13059    -0.134752  0.033204  
-0.443637  1.07783    -0.150423  0.0419659 
-0.346126  1.09876    -0.173943  0.0270717 
-0.37698   1.05913    -0.246756  0.0342343 
