#MU        SIGMA      ENERGY     ERROR     
-0.838914  0.916889   -0.119525  0.034551  
-0.863831  0.867894   -0.120837  0.0553977 
-0.86779   0.949542   0.0110217  0.0377521 
-0.842439  0.905041   -0.155737  0.0549942 
-0.842439  0.905041   -0.155737  0.0408543 
-0.901859  0.840123   -0.114812  0.0330621 
-0.952176  0.78849    -0.155437  0.0313635 
-0.918815  0.741829   -0.221349  0.0221669 
-0.96219   0.676298   -0.304426  0.0211997 
-0.96219   0.676298   -0.304426  0.0331663 
-0.96219   0.676298   -0.304426  0.0126704 
-0.935766  0.597186   -0.368069  0.0123129 
-0.87983   0.667398   -0.39893   0.0100393 
-0.898407  0.627662   -0.411455  0.020649  
-0.903054  0.673968   -0.387698  0.00725701
-0.822549  0.609657   -0.431461  0.00882384
-0.868216  0.570745   -0.401576  0.0111318 
-0.928667  0.555907   -0.355814  0.00940918
-0.871197  0.617756   -0.431574  0.00840115
-0.883324  0.605709   -0.420069  0.0138406 
-0.931521  0.529214   -0.288649  0.012607  
-0.842832  0.542476   -0.398883  0.00908023
-0.770331  0.627099   -0.435111  0.0146585 
-0.770331  0.627099   -0.435111  0.00674378
-0.713896  0.605456   -0.415141  0.0156018 
-0.713896  0.605456   -0.415141  0.0113796 
-0.65131   0.698579   -0.377714  0.00681542
-0.693883  0.631883   -0.405314  0.00825892
-0.70912   0.625486   -0.415803  0.00864636
-0.66169   0.584169   -0.365344  0.00702936
-0.756169  0.616598   -0.437462  0.0110129 
-0.776392  0.55083    -0.402179  0.00829158
-0.717241  0.641851   -0.408351  0.00752434
-0.713042  0.592469   -0.40992   0.00789842
-0.79208   0.653934   -0.436253  0.0151601 
-0.877997  0.686591   -0.406491  0.00985451
-0.880622  0.64511    -0.420464  0.0124117 
-0.836233  0.545364   -0.401903  0.0105888 
-0.807754  0.558991   -0.415482  0.00740574
-0.750528  0.612217   -0.432905  0.00986958
-0.7566    0.6722     -0.44321   0.00740097
-0.688582  0.642869   -0.406764  0.011635  
-0.612948  0.555309   -0.297035  0.0135959 
-0.612948  0.555309   -0.297035  0.0100567 
-0.702365  0.556807   -0.38928   0.0240756 
-0.702365  0.556807   -0.38928   0.0150047 
-0.702365  0.556807   -0.38928   0.0118974 
-0.715025  0.542285   -0.379427  0.0201719 
-0.804053  0.626166   -0.417373  0.0102688 
-0.716476  0.634412   -0.410547  0.0133    
-0.737273  0.727021   -0.381192  0.0194709 
-0.758532  0.784409   -0.339661  0.043963  
-0.838881  0.850372   -0.0625271 0.0712286 
-0.838881  0.850372   -0.0625271 0.0640187 
-0.886956  0.863214   -0.0185946 0.0423487 
-0.919767  0.792382   -0.148906  0.0352027 
-0.986396  0.723631   -0.10919   0.0503562 
-0.986396  0.723631   -0.10919   0.0394864 
