#MU        SIGMA      ENERGY     ERROR     
0.654704   0.812125   -0.338391  0.0188252 
0.602403   0.775691   -0.29437   0.0155438 
0.512814   0.82985    -0.307949  0.0255914 
0.548017   0.905566   -0.261471  0.0263824 
0.563392   0.905348   -0.220984  0.0309908 
0.591599   0.869798   -0.254943  0.0278117 
0.638533   0.900067   -0.248098  0.0155494 
0.649361   0.83093    -0.331538  0.0190868 
0.730564   0.764906   -0.347096  0.017985  
0.804046   0.735057   -0.367337  0.0147317 
0.704498   0.801807   -0.350331  0.012161  
0.61024    0.736188   -0.326254  0.0157178 
0.517075   0.779309   -0.319082  0.0142164 
0.608562   0.792107   -0.33424   0.0185725 
0.612397   0.860655   -0.343681  0.0214802 
0.566806   0.865909   -0.263478  0.0244154 
0.549619   0.920081   -0.255396  0.0249999 
0.51225    0.932331   -0.242313  0.0387721 
0.575742   0.865066   -0.213193  0.02998   
0.638795   0.854867   -0.256935  0.0410219 
0.592455   0.895668   -0.264587  0.0565919 
0.592455   0.895668   -0.264587  0.0195369 
0.557701   0.873429   -0.29265   0.0140779 
0.518433   0.848228   -0.326607  0.0152718 
0.448587   0.810007   -0.241496  0.0165476 
0.473524   0.853043   -0.275607  0.0150647 
0.386348   0.831154   -0.232113  0.0168826 
0.385483   0.735444   -0.166093  0.0193004 
0.385483   0.735444   -0.166093  0.0171883 
0.404692   0.669797   -0.124606  0.0182443 
0.382949   0.623968   0.0293843  0.0195711 
0.386522   0.604824   -0.0215625 0.0258477 
0.386522   0.604824   -0.0215625 0.018369  
0.350514   0.686223   -0.0813883 0.0208798 
0.30603    0.65782    0.0122118  0.0196755 
0.227572   0.725609   -0.0254703 0.0186508 
0.252303   0.768391   -0.0865024 0.0182708 
0.230914   0.800022   -0.159551  0.0198301 
0.278726   0.700135   0.00289324 0.0170993 
0.377094   0.766235   -0.186132  0.0181793 
0.388322   0.684741   -0.135202  0.0155549 
0.482988   0.628324   -0.170448  0.0149266 
0.481938   0.719003   -0.209694  0.0132777 
0.579657   0.780454   -0.329276  0.0156368 
0.668495   0.756984   -0.346551  0.0127197 
