#MU        SIGMA      ENERGY     ERROR     
-0.83046   0.661956   -0.424319  0.023944  
-0.83046   0.661956   -0.424319  0.00666344
-0.751343  0.646882   -0.433373  0.00829439
-0.74589   0.628639   -0.428934  0.00802646
-0.74589   0.628639   -0.428934  0.0106524 
-0.74589   0.628639   -0.428934  0.00846362
-0.840602  0.579785   -0.429415  0.0210334 
-0.840602  0.579785   -0.429415  0.0113098 
-0.837055  0.619568   -0.421431  0.0107332 
-0.837055  0.619568   -0.421431  0.0154385 
-0.865192  0.695551   -0.381791  0.0236567 
-0.865192  0.695551   -0.381791  0.0246074 
-0.88994   0.745262   -0.273183  0.0299641 
-0.88994   0.745262   -0.273183  0.00937226
-0.836797  0.670077   -0.440106  0.0075216 
-0.852872  0.59737    -0.441886  0.00797666
-0.788842  0.656985   -0.442877  0.0119515 
-0.788842  0.656985   -0.442877  0.0125641 
-0.788842  0.656985   -0.442877  0.0192821 
-0.788842  0.656985   -0.442877  0.00891475
-0.853274  0.616028   -0.426542  0.0110222 
-0.853274  0.616028   -0.426542  0.0138531 
-0.853274  0.616028   -0.426542  0.013252  
-0.790024  0.588122   -0.422133  0.00908949
-0.805828  0.566012   -0.40574   0.0175179 
-0.805828  0.566012   -0.40574   0.0118076 
-0.837222  0.550374   -0.397172  0.00844764
-0.759382  0.572952   -0.418382  0.0176377 
-0.759382  0.572952   -0.418382  0.0101683 
-0.716668  0.657737   -0.405753  0.00618425
-0.761315  0.612595   -0.435703  0.00837385
-0.85133   0.617119   -0.436249  0.0118716 
-0.85133   0.617119   -0.436249  0.013697  
-0.85133   0.617119   -0.436249  0.0111459 
-0.85133   0.617119   -0.436249  0.00994072
-0.774606  0.56199    -0.43471   0.00676754
-0.755677  0.596311   -0.435772  0.0111472 
-0.850673  0.604072   -0.428976  0.0228115 
-0.850673  0.604072   -0.428976  0.0138692 
-0.850673  0.604072   -0.428976  0.013895  
-0.823794  0.532329   -0.377289  0.00736218
-0.723935  0.600072   -0.427992  0.0081616 
-0.745348  0.575148   -0.407728  0.0093288 
-0.753009  0.638987   -0.417134  0.0079744 
-0.748794  0.579656   -0.432239  0.0139456 
-0.748794  0.579656   -0.432239  0.00746682
-0.751536  0.67483    -0.431242  0.0160243 
-0.751536  0.67483    -0.431242  0.0236329 
-0.751536  0.67483    -0.431242  0.0235602 
-0.751536  0.67483    -0.431242  0.0160202 
-0.751536  0.67483    -0.431242  0.0119094 
-0.654779  0.743062   -0.36608   0.028507  
-0.717672  0.837549   -0.2517    0.0223346 
-0.740868  0.826474   -0.300178  0.0340998 
-0.740868  0.826474   -0.300178  0.0680847 
-0.740868  0.826474   -0.300178  0.0414221 
-0.740868  0.826474   -0.300178  0.0285628 
-0.740868  0.826474   -0.300178  0.0264994 
-0.740868  0.826474   -0.300178  0.0247889 
-0.779945  0.772352   -0.33802   0.0229722 
-0.779945  0.772352   -0.33802   0.027321  
-0.752531  0.786432   -0.292154  0.0158134 
-0.718864  0.750437   -0.346132  0.0193102 
-0.742367  0.815797   -0.326242  0.0212481 
-0.728445  0.765122   -0.339388  0.0251975 
-0.728445  0.765122   -0.339388  0.0097525 
-0.660024  0.670037   -0.364118  0.0135818 
-0.721393  0.741428   -0.353569  0.0156352 
-0.807686  0.712891   -0.393776  0.0124224 
-0.89735   0.647253   -0.40223   0.0155514 
-0.910082  0.643028   -0.374046  0.0178563 
-0.852586  0.699607   -0.37408   0.0348118 
-0.852586  0.699607   -0.37408   0.0126583 
-0.91871   0.622017   -0.379377  0.030842  
-0.91871   0.622017   -0.379377  0.0211865 
-0.903406  0.673064   -0.379761  0.0341148 
-0.903406  0.673064   -0.379761  0.0129987 
-0.933676  0.593732   -0.36422   0.0104907 
-0.866551  0.561399   -0.392144  0.00567725
-0.767777  0.617864   -0.449991  0.00818136
-0.710304  0.587039   -0.406761  0.0169502 
-0.710304  0.587039   -0.406761  0.00919925
-0.67216   0.669493   -0.388093  0.00710244
-0.744907  0.585548   -0.428038  0.0123067 
-0.738131  0.543843   -0.403176  0.0194512 
-0.738131  0.543843   -0.403176  0.0107383 
-0.738131  0.543843   -0.403176  0.00978863
-0.738131  0.543843   -0.403176  0.00871711
-0.831566  0.62195    -0.439965  0.00965398
-0.829298  0.63473    -0.429351  0.0206858 
-0.829298  0.63473    -0.429351  0.0145958 
-0.884223  0.647532   -0.391798  0.00852807
-0.868367  0.609346   -0.431925  0.0101858 
-0.852137  0.632863   -0.408876  0.00653426
-0.777512  0.637433   -0.444522  0.00789472
-0.777512  0.637433   -0.444522  0.00882379
-0.822996  0.642991   -0.440964  0.00996704
-0.773498  0.688734   -0.431784  0.00798726
-0.804246  0.642026   -0.445584  0.00822   
-0.839072  0.625673   -0.434206  0.0104117 
-0.839072  0.625673   -0.434206  0.0129409 
-0.839072  0.625673   -0.434206  0.0199465 
-0.839072  0.625673   -0.434206  0.0145205 
-0.839072  0.625673   -0.434206  0.0122716 
-0.808733  0.544522   -0.382204  0.0123653 
-0.808733  0.544522   -0.382204  0.0172028 
-0.808733  0.544522   -0.382204  0.0176664 
-0.808733  0.544522   -0.382204  0.00728846
-0.824756  0.624153   -0.446947  0.00860267
-0.850158  0.599041   -0.438704  0.0121372 
-0.81261   0.545443   -0.394501  0.0214604 
-0.81261   0.545443   -0.394501  0.0123598 
-0.821291  0.634428   -0.438505  0.00677864
-0.832323  0.612578   -0.453111  0.0160011 
-0.832323  0.612578   -0.453111  0.0105925 
-0.832323  0.612578   -0.453111  0.0139714 
-0.832323  0.612578   -0.453111  0.0161838 
-0.904242  0.681361   -0.393225  0.00834511
-0.820849  0.664938   -0.445652  0.0146517 
-0.820849  0.664938   -0.445652  0.01838   
-0.820849  0.664938   -0.445652  0.0254941 
-0.820849  0.664938   -0.445652  0.00843395
-0.797513  0.650819   -0.431101  0.00811091
-0.868487  0.587946   -0.426963  0.00644624
-0.826689  0.619659   -0.452007  0.00830384
-0.771819  0.640972   -0.435877  0.0126348 
-0.771819  0.640972   -0.435877  0.0082311 
-0.828629  0.57963    -0.435837  0.014777  
-0.828629  0.57963    -0.435837  0.020003  
-0.828629  0.57963    -0.435837  0.0165172 
-0.849404  0.605485   -0.415061  0.00717471
-0.796812  0.636378   -0.453183  0.0118138 
-0.796812  0.636378   -0.453183  0.011753  
