#MU        SIGMA      ENERGY     ERROR     
-0.7657    0.677758   -0.43635   0.0108322 
-0.7657    0.677758   -0.43635   0.00909096
-0.745608  0.619778   -0.4243    0.00797457
-0.657771  0.628373   -0.377885  0.00630093
-0.717607  0.627415   -0.408967  0.0116113 
-0.717607  0.627415   -0.408967  0.010904  
-0.723593  0.695352   -0.404345  0.0201321 
-0.723593  0.695352   -0.404345  0.00844153
-0.723593  0.695352   -0.404345  0.0145786 
-0.71294   0.740523   -0.374883  0.0154023 
-0.77471   0.726967   -0.394848  0.00890294
-0.763474  0.680242   -0.437493  0.0186595 
-0.763474  0.680242   -0.437493  0.00792868
-0.775492  0.603546   -0.438829  0.0106168 
-0.679114  0.554731   -0.373889  0.0114736 
-0.737564  0.545293   -0.38445   0.010519  
-0.706368  0.556926   -0.388165  0.0106554 
-0.777376  0.554187   -0.409053  0.00972384
-0.791081  0.64038    -0.433821  0.0113427 
-0.764847  0.694177   -0.417865  0.0290504 
-0.764847  0.694177   -0.417865  0.0243528 
-0.764847  0.694177   -0.417865  0.0136264 
-0.835787  0.712803   -0.397469  0.0164721 
-0.835787  0.712803   -0.397469  0.0343129 
-0.835787  0.712803   -0.397469  0.0302832 
-0.835787  0.712803   -0.397469  0.00608517
-0.762534  0.629122   -0.445565  0.0123699 
-0.824192  0.543035   -0.407342  0.00815738
-0.848112  0.599448   -0.43553   0.0161851 
-0.848112  0.599448   -0.43553   0.0121272 
-0.848112  0.599448   -0.43553   0.0125126 
-0.862564  0.627369   -0.417678  0.00973626
-0.779697  0.565241   -0.420594  0.00599873
-0.75631   0.608694   -0.453121  0.00829157
-0.737404  0.660721   -0.421342  0.00800085
-0.729922  0.701444   -0.423312  0.00659019
-0.73352   0.608711   -0.42562   0.0173081 
-0.790322  0.691028   -0.397571  0.00837699
-0.843759  0.59486    -0.435077  0.0125181 
-0.843759  0.59486    -0.435077  0.012665  
-0.843759  0.59486    -0.435077  0.0140022 
-0.843759  0.59486    -0.435077  0.018778  
-0.843759  0.59486    -0.435077  0.0117784 
-0.777213  0.542178   -0.37211   0.00811946
-0.751245  0.580668   -0.441809  0.0156976 
-0.850285  0.523548   -0.329279  0.028211  
-0.850285  0.523548   -0.329279  0.00696326
-0.832228  0.621928   -0.443902  0.0132009 
-0.784283  0.685803   -0.407889  0.00651132
-0.730176  0.607856   -0.421517  0.00734027
-0.695544  0.627429   -0.40329   0.0094625 
-0.730595  0.569872   -0.417131  0.0087078 
-0.730595  0.569872   -0.417131  0.0178233 
-0.730595  0.569872   -0.417131  0.00967231
-0.76661   0.567144   -0.432255  0.00753032
-0.798441  0.61487    -0.450312  0.00656972
-0.781074  0.614686   -0.44387   0.0121746 
-0.781074  0.614686   -0.44387   0.0079512 
-0.710145  0.687214   -0.424852  0.00784081
-0.696943  0.671512   -0.418288  0.0128281 
-0.641462  0.765777   -0.350508  0.0123318 
-0.641462  0.765777   -0.350508  0.0178836 
-0.641462  0.765777   -0.350508  0.0155182 
-0.667316  0.783007   -0.358058  0.0365204 
-0.667316  0.783007   -0.358058  0.0136593 
-0.716383  0.713567   -0.387239  0.0267846 
-0.716383  0.713567   -0.387239  0.018949  
-0.716383  0.713567   -0.387239  0.0262383 
-0.770155  0.789742   -0.348797  0.0262431 
-0.849535  0.705111   -0.356938  0.0220486 
-0.849535  0.705111   -0.356938  0.0128245 
-0.849234  0.672864   -0.390462  0.0291554 
-0.849234  0.672864   -0.390462  0.0070538 
-0.780103  0.593527   -0.441326  0.00990518
-0.752784  0.595349   -0.424684  0.0146452 
-0.752784  0.595349   -0.424684  0.00872659
-0.746737  0.574371   -0.425642  0.0198149 
-0.746737  0.574371   -0.425642  0.00792258
-0.746737  0.574371   -0.425642  0.0210434 
-0.746737  0.574371   -0.425642  0.00928838
-0.730927  0.56336    -0.416824  0.00819145
-0.746681  0.653896   -0.430722  0.0182974 
-0.746681  0.653896   -0.430722  0.00785254
-0.736044  0.579846   -0.422085  0.0135906 
-0.736044  0.579846   -0.422085  0.00621494
-0.736044  0.579846   -0.422085  0.0143917 
-0.736044  0.579846   -0.422085  0.016929  
-0.736044  0.579846   -0.422085  0.0140148 
-0.736044  0.579846   -0.422085  0.00805612
-0.808367  0.653494   -0.429285  0.00831754
-0.807303  0.661652   -0.442441  0.00918074
-0.807303  0.661652   -0.442441  0.0111979 
-0.822771  0.665152   -0.417157  0.0310822 
-0.860954  0.747108   -0.311606  0.0550083 
-0.860954  0.747108   -0.311606  0.0456806 
-0.860954  0.747108   -0.311606  0.0211812 
-0.897181  0.682548   -0.357801  0.0139259 
-0.897181  0.682548   -0.357801  0.0169299 
-0.950281  0.653814   -0.338405  0.0228959 
-0.950281  0.653814   -0.338405  0.0135818 
-0.995113  0.593311   -0.270761  0.0154312 
-0.95583   0.648124   -0.35925   0.00987116
-0.881631  0.593051   -0.41437   0.0157309 
-0.881631  0.593051   -0.41437   0.0269025 
-0.881631  0.593051   -0.41437   0.0128884 
-0.881631  0.593051   -0.41437   0.0121103 
-0.868621  0.651013   -0.422351  0.0212407 
-0.868621  0.651013   -0.422351  0.00990541
-0.926981  0.571035   -0.357762  0.0275332 
-0.926981  0.571035   -0.357762  0.0146997 
-0.926981  0.571035   -0.357762  0.0194583 
-0.926981  0.571035   -0.357762  0.0123064 
-0.926981  0.571035   -0.357762  0.0095897 
-0.868345  0.601139   -0.420277  0.0116036 
-0.868345  0.601139   -0.420277  0.0165193 
-0.868345  0.601139   -0.420277  0.0116773 
-0.79941   0.549646   -0.397271  0.0249118 
-0.79941   0.549646   -0.397271  0.0190043 
-0.79941   0.549646   -0.397271  0.00576416
-0.774504  0.60755    -0.448117  0.0116575 
-0.800936  0.548544   -0.414686  0.0069423 
-0.713285  0.614382   -0.412672  0.00978784
-0.647298  0.695527   -0.355407  0.0116933 
-0.647298  0.695527   -0.355407  0.00815981
-0.65609   0.641312   -0.375465  0.00833038
-0.727469  0.576098   -0.407742  0.00613502
-0.790433  0.614467   -0.45515   0.00855347
-0.790433  0.614467   -0.45515   0.011385  
-0.790433  0.614467   -0.45515   0.0130319 
-0.794785  0.537532   -0.382819  0.0097386 
-0.695947  0.562963   -0.387113  0.0205913 
-0.695947  0.562963   -0.387113  0.0068904 
-0.795431  0.594637   -0.449346  0.0172413 
-0.795431  0.594637   -0.449346  0.00579923
-0.795431  0.594637   -0.449346  0.0150289 
