#MU        SIGMA      ENERGY     ERROR     
0.914318   0.663205   -0.377146  0.0124642 
0.895024   0.665185   -0.396856  0.0227447 
0.895024   0.665185   -0.396856  0.00838902
0.867502   0.592242   -0.428431  0.00858374
0.845274   0.581497   -0.434552  0.0150913 
0.845274   0.581497   -0.434552  0.00978899
0.845274   0.581497   -0.434552  0.0191852 
0.845274   0.581497   -0.434552  0.0129019 
0.747941   0.538082   -0.375325  0.00851499
0.843245   0.576214   -0.431064  0.0127274 
0.843245   0.576214   -0.431064  0.0147842 
0.927233   0.643031   -0.372296  0.0253591 
1.01431    0.687107   -0.235947  0.0302076 
0.931994   0.731296   -0.269101  0.0501275 
0.931994   0.731296   -0.269101  0.0191387 
0.846189   0.673693   -0.378361  0.00902752
0.897784   0.584258   -0.394396  0.0135166 
0.897784   0.584258   -0.394396  0.0168955 
0.897784   0.584258   -0.394396  0.0141367 
0.985189   0.602826   -0.287942  0.0188585 
0.903549   0.688698   -0.376287  0.0102566 
0.821462   0.665672   -0.42788   0.00662761
0.744454   0.636563   -0.426876  0.0167667 
0.744454   0.636563   -0.426876  0.0118089 
0.738769   0.544996   -0.376361  0.00982005
0.768655   0.559546   -0.432134  0.018823  
0.768655   0.559546   -0.432134  0.00831946
0.823889   0.643674   -0.434997  0.0144546 
0.823889   0.643674   -0.434997  0.00721929
0.881236   0.603843   -0.423587  0.00830567
0.811614   0.590581   -0.423486  0.0115666 
0.838652   0.672075   -0.420978  0.0174978 
0.815554   0.726707   -0.377323  0.0097966 
0.729961   0.651247   -0.411955  0.010247  
0.771889   0.671392   -0.414867  0.00776507
0.832923   0.586591   -0.425685  0.00555225
0.760615   0.624303   -0.45512   0.011922  
0.847141   0.547209   -0.393307  0.00979815
0.896962   0.619058   -0.411816  0.0146683 
0.930108   0.651469   -0.354378  0.0346686 
0.930108   0.651469   -0.354378  0.0183421 
0.870553   0.744714   -0.350312  0.0168793 
0.869533   0.723656   -0.365861  0.0386869 
0.869533   0.723656   -0.365861  0.0378682 
0.827919   0.720095   -0.320217  0.00827243
0.775495   0.665046   -0.430807  0.0158603 
0.727917   0.755561   -0.373306  0.0121867 
0.723945   0.710712   -0.384878  0.0135616 
0.723945   0.710712   -0.384878  0.0118896 
0.723945   0.710712   -0.384878  0.0170378 
0.733432   0.762847   -0.355846  0.0251189 
0.733432   0.762847   -0.355846  0.0173604 
0.762909   0.753807   -0.353001  0.0179416 
0.694146   0.811944   -0.322395  0.0218695 
0.740319   0.74514    -0.338136  0.0354817 
0.751084   0.798665   -0.312876  0.0167429 
0.716879   0.737323   -0.360948  0.0149416 
0.731795   0.723674   -0.366533  0.00901468
0.63212    0.658855   -0.354395  0.0116039 
0.63212    0.658855   -0.354395  0.0101933 
0.693112   0.706376   -0.381392  0.0162464 
0.777627   0.747656   -0.381521  0.0292629 
0.777627   0.747656   -0.381521  0.0185329 
0.854272   0.701874   -0.371851  0.0135577 
0.905081   0.664042   -0.375613  0.011002  
0.859174   0.655351   -0.417749  0.0148293 
0.858613   0.679178   -0.415754  0.0103307 
0.814452   0.632129   -0.416479  0.0131493 
0.720804   0.705984   -0.40764   0.0133319 
0.76962    0.717197   -0.393037  0.00621859
0.77075    0.655287   -0.451014  0.0090523 
0.868639   0.575866   -0.412063  0.0144778 
0.915632   0.646514   -0.37498   0.0335076 
0.915632   0.646514   -0.37498   0.00943744
0.862662   0.571814   -0.4342    0.0144297 
0.862662   0.571814   -0.4342    0.00981243
0.9059     0.580978   -0.382853  0.0116864 
0.9059     0.580978   -0.382853  0.00949652
0.816889   0.567643   -0.436769  0.0167081 
0.816889   0.567643   -0.436769  0.0120598 
0.831378   0.541429   -0.371366  0.00767087
0.760727   0.584162   -0.441183  0.00710446
0.701335   0.60435    -0.419214  0.0109213 
0.701335   0.60435    -0.419214  0.0111353 
0.701335   0.60435    -0.419214  0.00889798
0.643226   0.645505   -0.350488  0.0106273 
0.664977   0.703858   -0.364509  0.00838013
0.688846   0.670017   -0.398298  0.0120493 
0.599857   0.690267   -0.336807  0.0136181 
0.623928   0.771476   -0.344954  0.0114667 
0.613897   0.729565   -0.375175  0.0135615 
0.613897   0.729565   -0.375175  0.0164621 
0.614544   0.773194   -0.331396  0.0123941 
0.614544   0.773194   -0.331396  0.0205966 
0.624937   0.858138   -0.302518  0.0183171 
0.720456   0.797889   -0.338382  0.0108564 
0.704932   0.73105    -0.39466   0.0124928 
0.693686   0.712149   -0.380084  0.0157435 
0.762392   0.745133   -0.384957  0.0186101 
0.858922   0.729787   -0.350441  0.0105579 
0.81517    0.691645   -0.42232   0.0248998 
0.81517    0.691645   -0.42232   0.0216708 
0.814269   0.747205   -0.347052  0.00935356
0.750747   0.671188   -0.424253  0.00922629
0.750747   0.671188   -0.424253  0.0112754 
0.848843   0.658108   -0.426341  0.0116775 
0.795754   0.667777   -0.416829  0.0092349 
0.859142   0.640217   -0.429709  0.0125028 
0.822347   0.6763     -0.417019  0.0160271 
0.822347   0.6763     -0.417019  0.0215481 
0.822347   0.6763     -0.417019  0.0186756 
0.778531   0.74326    -0.394795  0.00974045
0.777861   0.673175   -0.422757  0.0186342 
0.777861   0.673175   -0.422757  0.0069873 
0.753132   0.633691   -0.430948  0.00764609
0.730213   0.588616   -0.422909  0.00843001
0.768753   0.577352   -0.428378  0.00974583
0.868221   0.567738   -0.412012  0.00969384
0.821059   0.646942   -0.436718  0.0136357 
0.880922   0.637721   -0.418227  0.00984603
0.830466   0.600118   -0.425287  0.0140577 
0.827941   0.533833   -0.374401  0.0104974 
0.791739   0.555998   -0.392721  0.00926454
0.853376   0.590907   -0.432735  0.00984682
0.853376   0.590907   -0.432735  0.0157454 
0.853376   0.590907   -0.432735  0.0174576 
0.853376   0.590907   -0.432735  0.0124391 
0.84454    0.690338   -0.419136  0.0379467 
0.84454    0.690338   -0.419136  0.0151917 
0.84454    0.690338   -0.419136  0.0234984 
0.803553   0.785021   -0.342842  0.0233138 
0.803553   0.785021   -0.342842  0.0374267 
0.803553   0.785021   -0.342842  0.0419848 
0.803553   0.785021   -0.342842  0.0156889 
0.793918   0.779805   -0.354766  0.0281336 
0.793918   0.779805   -0.354766  0.016603  
0.753153   0.775626   -0.336195  0.029479  
0.815694   0.817168   -0.224118  0.0268184 
0.787089   0.798278   -0.280743  0.0298697 
0.787089   0.798278   -0.280743  0.0220634 
0.733606   0.827223   -0.3041    0.0428661 
0.733606   0.827223   -0.3041    0.0157551 
0.744566   0.76864    -0.372637  0.0216317 
0.744566   0.76864    -0.372637  0.0265025 
0.764024   0.845934   -0.277069  0.039875  
0.764024   0.845934   -0.277069  0.0166481 
0.704541   0.749109   -0.35539   0.016329  
0.757148   0.72748    -0.363772  0.0150599 
0.677655   0.688249   -0.355773  0.00665527
0.74139    0.647463   -0.428902  0.012009  
0.74139    0.647463   -0.428902  0.0172495 
0.792897   0.743799   -0.376597  0.0202052 
0.792897   0.743799   -0.376597  0.0111246 
0.880462   0.644753   -0.423397  0.0105434 
0.928739   0.574149   -0.378868  0.0124588 
0.863744   0.65312    -0.415856  0.013374  
0.887451   0.596935   -0.402522  0.0116883 
0.859722   0.547321   -0.385284  0.026387  
0.859722   0.547321   -0.385284  0.0116692 
0.934448   0.599668   -0.360174  0.0214122 
0.885515   0.668217   -0.36917   0.0108748 
0.858656   0.606711   -0.423998  0.00602921
0.759894   0.621343   -0.433913  0.00956957
0.759894   0.621343   -0.433913  0.013008  
0.759894   0.621343   -0.433913  0.00850685
0.817841   0.628218   -0.443391  0.0067261 
0.846846   0.612311   -0.456701  0.00877148
0.846846   0.612311   -0.456701  0.00780583
0.846846   0.612311   -0.456701  0.011424  
0.748907   0.647594   -0.417783  0.0128328 
0.748907   0.647594   -0.417783  0.00793617
0.82325    0.595983   -0.430712  0.0101897 
0.819366   0.670569   -0.430119  0.0110408 
0.844673   0.662998   -0.423887  0.00908596
0.821      0.605438   -0.446864  0.0118501 
0.842311   0.548991   -0.390017  0.0189995 
0.842311   0.548991   -0.390017  0.00932577
0.809578   0.633004   -0.440156  0.00651111
0.809578   0.633004   -0.440156  0.01327   
0.814462   0.538919   -0.407127  0.011205  
0.842805   0.5623     -0.405009  0.0104532 
0.805899   0.558011   -0.408571  0.00634772
0.743771   0.654529   -0.444649  0.0193559 
0.743771   0.654529   -0.444649  0.00740243
0.757895   0.584311   -0.431683  0.0167131 
0.66784    0.501487   -0.236686  0.0100896 
0.740739   0.555874   -0.408552  0.00642956
0.729595   0.606716   -0.426232  0.0112914 
0.648273   0.684842   -0.353705  0.0115606 
0.559942   0.68458    -0.288971  0.0150794 
0.469805   0.749028   -0.25208   0.015131  
0.480767   0.665467   -0.198593  0.0127663 
0.532223   0.637074   -0.215937  0.0128182 
0.526567   0.689957   -0.234126  0.011035  
0.608586   0.649822   -0.338002  0.0118954 
0.632678   0.72518    -0.327897  0.0101347 
0.642023   0.693622   -0.360026  0.00655116
0.708606   0.617432   -0.419777  0.0114598 
0.708606   0.617432   -0.419777  0.00919386
0.633718   0.583321   -0.310422  0.012597  
0.633718   0.583321   -0.310422  0.00818691
0.690547   0.608767   -0.391519  0.0141451 
0.681491   0.705917   -0.381895  0.00768607
0.747421   0.622622   -0.448104  0.00948254
0.847315   0.606285   -0.423308  0.00826008
0.773956   0.676113   -0.4307    0.0170126 
0.773956   0.676113   -0.4307    0.0165266 
0.773956   0.676113   -0.4307    0.00783552
0.773956   0.676113   -0.4307    0.0161707 
0.773956   0.676113   -0.4307    0.0161888 
0.773956   0.676113   -0.4307    0.0109955 
0.817553   0.66395    -0.421085  0.00990732
0.912167   0.574601   -0.384924  0.0144684 
0.912167   0.574601   -0.384924  0.0203207 
0.912167   0.574601   -0.384924  0.015222  
0.978672   0.630886   -0.323006  0.0136778 
0.976352   0.625981   -0.336072  0.0112951 
0.972136   0.554142   -0.301116  0.0126279 
0.972136   0.554142   -0.301116  0.0154088 
0.972136   0.554142   -0.301116  0.0109933 
0.942223   0.616574   -0.35929   0.0132031 
0.858131   0.648851   -0.425287  0.0208944 
0.858131   0.648851   -0.425287  0.00861701
0.765384   0.690643   -0.434839  0.0132701 
0.864829   0.662067   -0.41877   0.00890359
0.884836   0.612318   -0.413264  0.00993533
0.817443   0.562822   -0.421455  0.0144243 
0.817443   0.562822   -0.421455  0.0239725 
0.817443   0.562822   -0.421455  0.0127759 
0.837999   0.542435   -0.381149  0.0101293 
0.856263   0.626712   -0.430104  0.00530293
0.774534   0.628865   -0.446948  0.0116597 
0.8571     0.669894   -0.422889  0.0142244 
0.778974   0.747817   -0.380034  0.0191946 
0.72067    0.786078   -0.329745  0.0145765 
0.740615   0.760802   -0.375416  0.0156579 
0.82374    0.691755   -0.392468  0.0162743 
0.739365   0.728013   -0.364578  0.0122927 
0.737333   0.713718   -0.403402  0.0180605 
0.737333   0.713718   -0.403402  0.0107133 
0.637842   0.689145   -0.364313  0.0218071 
0.673245   0.757603   -0.31708   0.0183196 
0.702264   0.770945   -0.347114  0.00961982
0.671258   0.689068   -0.377303  0.00949725
0.644293   0.638912   -0.372938  0.014985  
0.55486    0.543061   -0.239395  0.015236  
0.55486    0.543061   -0.239395  0.0152153 
0.514549   0.576028   -0.187332  0.0188484 
0.514549   0.576028   -0.187332  0.0194113 
0.560332   0.481294   -0.14493   0.0351097 
0.560332   0.481294   -0.14493   0.0282029 
0.560332   0.481294   -0.14493   0.019099  
0.510387   0.489524   -0.119821  0.0416224 
0.510387   0.489524   -0.119821  0.0152245 
0.586697   0.513591   -0.22418   0.0229346 
0.586697   0.513591   -0.22418   0.00934695
0.672055   0.573013   -0.371832  0.00925016
0.704256   0.670727   -0.403463  0.0135555 
0.776669   0.711314   -0.400547  0.0103003 
0.832122   0.678049   -0.421081  0.0184247 
0.832122   0.678049   -0.421081  0.0146829 
0.808618   0.687916   -0.400789  0.0191083 
0.751275   0.731381   -0.336141  0.042346  
0.751275   0.731381   -0.336141  0.0135358 
0.729598   0.755694   -0.368912  0.0246546 
0.706427   0.851793   -0.28671   0.0297402 
0.682093   0.890879   -0.251273  0.0591289 
0.682093   0.890879   -0.251273  0.0175757 
0.585174   0.838083   -0.311398  0.0212435 
0.585174   0.838083   -0.311398  0.016181  
0.498827   0.867229   -0.288111  0.0208455 
0.403219   0.938764   -0.274768  0.0203126 
0.4861     0.978587   -0.268416  0.0185004 
0.472107   0.892225   -0.278466  0.021071  
0.471709   0.952867   -0.284731  0.0296211 
0.471709   0.952867   -0.284731  0.0372936 
0.534083   0.925271   -0.249516  0.0327571 
0.590753   0.887421   -0.222877  0.0221583 
0.519218   0.888521   -0.275288  0.0308127 
0.519218   0.888521   -0.275288  0.0198817 
0.444073   0.867184   -0.242777  0.0170638 
0.429781   0.906352   -0.273221  0.0359099 
0.363146   0.991674   -0.196887  0.027544  
0.269402   1.02468    -0.237007  0.0270658 
0.357733   0.985429   -0.20705   0.0169451 
0.281526   0.955514   -0.294477  0.01537   
0.315578   0.913402   -0.271294  0.0156129 
0.245873   0.895761   -0.254022  0.0166245 
0.245873   0.895761   -0.254022  0.0174991 
0.27775    0.799295   -0.172835  0.0179861 
0.27775    0.799295   -0.172835  0.0174687 
0.272607   0.873594   -0.204768  0.0211503 
0.247166   0.865658   -0.181552  0.0164695 
0.25187    0.904696   -0.256832  0.0169783 
0.25187    0.904696   -0.256832  0.0169649 
0.25187    0.904696   -0.256832  0.0168892 
0.272944   0.847086   -0.194932  0.0175149 
0.290185   0.77651    -0.149036  0.0153716 
0.207676   0.862428   -0.190363  0.0172735 
0.207676   0.862428   -0.190363  0.0155925 
0.193512   0.924989   -0.276355  0.0224248 
0.193512   0.924989   -0.276355  0.0192539 
0.219513   0.896723   -0.226035  0.0153015 
0.31759    0.982604   -0.288887  0.0249665 
0.366229   1.01901    -0.225447  0.0270443 
0.425933   0.967737   -0.236101  0.0206036 
0.377545   0.954024   -0.284057  0.0224111 
0.312193   1.00366    -0.241093  0.0183003 
0.23475    0.930189   -0.254269  0.0170543 
0.23475    0.930189   -0.254269  0.017432  
0.212944   0.977927   -0.263974  0.0184268 
0.311245   0.901429   -0.268349  0.0154853 
0.265506   0.867363   -0.177598  0.016898  
0.288986   0.780647   -0.136404  0.0163991 
0.349121   0.781793   -0.192296  0.0196584 
0.401397   0.839231   -0.225029  0.0167025 
0.356582   0.782407   -0.222276  0.0174256 
0.391126   0.856141   -0.228629  0.0189724 
0.299007   0.854416   -0.21993   0.0166574 
0.332089   0.803085   -0.207615  0.0162459 
0.303      0.90061    -0.229731  0.0153643 
0.355596   0.854818   -0.269308  0.0166298 
0.437764   0.867986   -0.268818  0.02642   
0.527021   0.927909   -0.265521  0.0187951 
0.591445   0.839068   -0.301362  0.0143696 
0.658588   0.771285   -0.361598  0.0121835 
0.618416   0.724851   -0.339197  0.00718788
0.687134   0.642178   -0.398741  0.0099232 
0.687134   0.642178   -0.398741  0.00893527
0.774578   0.603864   -0.434323  0.0104296 
0.854031   0.6525     -0.429607  0.00982859
0.791184   0.62823    -0.422486  0.014049  
0.791184   0.62823    -0.422486  0.00945448
0.793448   0.563511   -0.424489  0.0224927 
0.793448   0.563511   -0.424489  0.00878408
0.864841   0.592124   -0.440498  0.0174099 
0.864841   0.592124   -0.440498  0.0115044 
0.864841   0.592124   -0.440498  0.0117075 
0.864841   0.592124   -0.440498  0.0083183 
0.818746   0.581709   -0.440852  0.00941773
0.818746   0.581709   -0.440852  0.00934636
0.847558   0.581908   -0.428588  0.0198146 
0.847558   0.581908   -0.428588  0.0194116 
0.847558   0.581908   -0.428588  0.00818662
0.796905   0.633231   -0.43986   0.00858335
0.796905   0.633231   -0.43986   0.0106458 
0.768559   0.69851    -0.422124  0.0110524 
0.774243   0.684169   -0.408021  0.0120886 
0.860746   0.636551   -0.406797  0.0131435 
0.791853   0.537218   -0.378913  0.0137299 
0.868515   0.61355    -0.417245  0.0147005 
0.868001   0.703868   -0.385443  0.010947  
0.834871   0.680671   -0.425493  0.0104159 
0.860692   0.661924   -0.436142  0.0146729 
0.849921   0.709508   -0.400546  0.0191884 
0.798086   0.738045   -0.3607    0.0133449 
0.867991   0.70674    -0.402229  0.0156005 
0.939988   0.658294   -0.344895  0.0506684 
0.939988   0.658294   -0.344895  0.0557555 
0.939988   0.658294   -0.344895  0.0190814 
0.917595   0.654171   -0.357507  0.00841874
0.832592   0.63314    -0.439436  0.0119144 
0.832592   0.63314    -0.439436  0.0115803 
0.832592   0.63314    -0.439436  0.0091057 
0.736779   0.562749   -0.401263  0.00981427
0.736779   0.562749   -0.401263  0.00825737
0.658545   0.614286   -0.376297  0.0106562 
0.685858   0.55652    -0.366331  0.0196976 
0.768019   0.497485   -0.260732  0.0237004 
0.760054   0.477131   -0.230757  0.0187053 
0.781683   0.506711   -0.306104  0.009755  
0.865471   0.586041   -0.436067  0.0101491 
0.865471   0.586041   -0.436067  0.00715808
0.80384    0.633995   -0.448338  0.00896826
0.729121   0.672185   -0.409589  0.0111747 
0.729121   0.672185   -0.409589  0.00636654
0.761102   0.615209   -0.446752  0.00991029
0.761102   0.615209   -0.446752  0.00951878
0.813343   0.61107    -0.441511  0.00826775
0.874154   0.598921   -0.424508  0.0185122 
0.874154   0.598921   -0.424508  0.0210415 
0.874154   0.598921   -0.424508  0.0102195 
0.885393   0.647321   -0.416142  0.0141417 
0.838018   0.691309   -0.407622  0.00693345
0.856187   0.615522   -0.452595  0.0101269 
0.856187   0.615522   -0.452595  0.00861759
0.785814   0.685883   -0.437882  0.0073753 
0.764636   0.604399   -0.424843  0.00703202
0.707944   0.666519   -0.419467  0.0103215 
