#MU        SIGMA      ENERGY     ERROR     
-0.0122837 0.878766   -0.178217  0.0152823 
0.0559524  0.95512    -0.253208  0.0175012 
0.130727   0.936345   -0.261892  0.0203566 
0.048536   0.964457   -0.222614  0.0221665 
0.0133322  1.05958    -0.253668  0.0286795 
-0.00720196 1.04599    -0.204189  0.0226918 
-0.0574874 1.06231    -0.271615  0.0339356 
-0.0783713 1.04355    -0.208641  0.0181074 
0.0200042  0.998488   -0.236536  0.0158702 
0.102242   0.938215   -0.258369  0.0162137 
0.00703347 0.922379   -0.23505   0.0182801 
0.00703347 0.922379   -0.23505   0.0174882 
0.00703347 0.922379   -0.23505   0.0164848 
-0.0460141 0.985846   -0.278421  0.0158244 
-0.0799283 0.942507   -0.262591  0.0298318 
-0.0509089 1.02764    -0.222662  0.0245998 
-0.104352  1.08593    -0.231336  0.0338776 
-0.104352  1.08593    -0.231336  0.0217098 
-0.12808   1.05603    -0.26218   0.0187067 
-0.184265  0.967756   -0.248512  0.0154218 
-0.184714  0.916596   -0.259809  0.0157514 
-0.0978274 0.89132    -0.230293  0.0168919 
-0.0978274 0.89132    -0.230293  0.0165213 
-0.0978274 0.89132    -0.230293  0.0189439 
-0.0999058 0.796228   -0.124232  0.0172072 
-0.00328677 0.859974   -0.183861  0.0199691 
0.0746829  0.958023   -0.225851  0.0177241 
0.0951408  0.871969   -0.179573  0.0168065 
0.0548591  0.832952   -0.141844  0.0197447 
0.0548591  0.832952   -0.141844  0.0199227 
0.0548591  0.832952   -0.141844  0.01613   
0.0660473  0.931969   -0.238016  0.0160447 
0.127605   0.947064   -0.254257  0.0168941 
0.220357   0.86248    -0.186963  0.0183208 
0.277861   0.875335   -0.234887  0.016539  
0.204416   0.907047   -0.273774  0.0168121 
0.303677   0.841397   -0.197629  0.0146292 
0.393659   0.837842   -0.247352  0.0227564 
0.418269   0.855062   -0.277555  0.0165848 
0.344593   0.870777   -0.216279  0.0144661 
0.402989   0.833577   -0.250637  0.0180196 
0.446326   0.823775   -0.254042  0.0199322 
0.397888   0.909141   -0.255481  0.0193244 
0.309723   0.937224   -0.253155  0.0190632 
0.226415   0.950066   -0.253432  0.0152944 
0.286223   0.900593   -0.251889  0.0163634 
0.326453   0.861801   -0.23869   0.0173899 
0.377722   0.836024   -0.245815  0.0160871 
0.352908   0.85312    -0.225148  0.0173844 
0.364619   0.863902   -0.244876  0.0249001 
0.394996   0.954819   -0.262484  0.0326221 
0.394996   0.954819   -0.262484  0.0231263 
0.394996   0.954819   -0.262484  0.0159573 
0.412658   0.922496   -0.294206  0.0161683 
0.323193   0.885191   -0.2559    0.017779  
0.323193   0.885191   -0.2559    0.0181086 
0.329214   0.842608   -0.252141  0.0152765 
0.429097   0.91026    -0.291099  0.020691  
0.461809   0.866874   -0.266874  0.023916  
0.469917   0.911494   -0.247024  0.0295067 
0.510664   0.993917   -0.230299  0.0201448 
0.440331   0.895324   -0.24939   0.0155583 
0.406459   0.818034   -0.25184   0.0159496 
0.500771   0.786822   -0.262868  0.0162002 
0.444108   0.791499   -0.235232  0.0186208 
0.525842   0.846912   -0.282579  0.0142858 
0.485276   0.761518   -0.220902  0.0122936 
0.562643   0.67004    -0.296644  0.0158784 
0.562643   0.67004    -0.296644  0.0130273 
0.536313   0.6603     -0.24588   0.012408  
0.551582   0.616879   -0.251208  0.0144682 
0.498994   0.669541   -0.225428  0.0135603 
0.549183   0.571007   -0.211255  0.0157505 
0.511717   0.561735   -0.188962  0.0113701 
0.584729   0.629394   -0.309019  0.0134325 
0.550648   0.621307   -0.275183  0.0153731 
0.550648   0.621307   -0.275183  0.0110316 
0.583241   0.652898   -0.302495  0.0107565 
0.679642   0.694764   -0.367807  0.0111039 
0.636771   0.69598    -0.369277  0.0127415 
0.636771   0.69598    -0.369277  0.0101698 
0.629421   0.685908   -0.36766   0.0088495 
0.646509   0.690873   -0.36287   0.00890777
0.641858   0.607803   -0.349973  0.0150238 
0.698175   0.521522   -0.354134  0.0207366 
0.694484   0.488078   -0.251762  0.0156991 
0.726561   0.520633   -0.369744  0.0230779 
0.743145   0.477495   -0.241165  0.013469  
0.782506   0.533842   -0.363447  0.0123639 
0.705614   0.541149   -0.349057  0.0307824 
0.705614   0.541149   -0.349057  0.0276195 
0.70355    0.454055   -0.103032  0.0117346 
0.708191   0.544128   -0.364161  0.00820573
0.671202   0.628334   -0.399883  0.0136019 
0.571425   0.532901   -0.209703  0.0142576 
0.520155   0.578305   -0.187564  0.0172769 
