#MU        SIGMA      ENERGY     ERROR     
-0.728138  0.579628   -0.410266  0.00804389
-0.748725  0.580233   -0.427513  0.0104764 
-0.843708  0.562873   -0.403424  0.0197469 
-0.843708  0.562873   -0.403424  0.0126801 
-0.843708  0.562873   -0.403424  0.0195103 
-0.843708  0.562873   -0.403424  0.0125439 
-0.763981  0.657452   -0.412116  0.0107219 
-0.763981  0.657452   -0.412116  0.0174319 
-0.786848  0.754299   -0.354696  0.00975354
-0.764783  0.669818   -0.424721  0.00848606
-0.69784   0.66034    -0.402917  0.0189459 
-0.69784   0.66034    -0.402917  0.0111314 
-0.69784   0.66034    -0.402917  0.00781534
-0.671267  0.618696   -0.393175  0.00894601
-0.644428  0.654464   -0.385874  0.00871821
-0.728186  0.62199    -0.429684  0.0109213 
-0.728186  0.62199    -0.429684  0.00849907
-0.668861  0.591916   -0.388098  0.0136981 
-0.668861  0.591916   -0.388098  0.00733091
-0.675538  0.625878   -0.393035  0.00837111
-0.750149  0.575957   -0.42798   0.00645583
-0.802843  0.638495   -0.448379  0.00719574
-0.821043  0.606895   -0.439809  0.00599509
-0.770353  0.602168   -0.447675  0.0105242 
-0.770353  0.602168   -0.447675  0.0109689 
-0.770353  0.602168   -0.447675  0.0118946 
-0.770353  0.602168   -0.447675  0.0108573 
-0.768236  0.551856   -0.418609  0.0160491 
-0.768236  0.551856   -0.418609  0.0211845 
-0.768236  0.551856   -0.418609  0.00851549
-0.715569  0.622312   -0.410921  0.00912911
-0.743426  0.56716    -0.413655  0.0161536 
-0.743426  0.56716    -0.413655  0.0144274 
-0.743426  0.56716    -0.413655  0.0108424 
-0.743426  0.56716    -0.413655  0.0207535 
-0.743426  0.56716    -0.413655  0.00960743
-0.762489  0.562523   -0.413326  0.0146508 
-0.762489  0.562523   -0.413326  0.00904086
-0.712796  0.645087   -0.403926  0.0162905 
-0.76068   0.745085   -0.369638  0.0139033 
-0.751548  0.687914   -0.417576  0.0135114 
-0.827279  0.642734   -0.418822  0.0106101 
-0.749277  0.554085   -0.417223  0.0072329 
-0.792254  0.640426   -0.439419  0.00909173
-0.770585  0.672685   -0.43358   0.00894923
-0.746754  0.64494    -0.421496  0.0110226 
-0.771009  0.715165   -0.421049  0.015066  
-0.771009  0.715165   -0.421049  0.00856671
-0.789824  0.642055   -0.438531  0.0147037 
-0.80268   0.687072   -0.405164  0.026909  
-0.80268   0.687072   -0.405164  0.0219464 
-0.80268   0.687072   -0.405164  0.0105313 
-0.835085  0.623878   -0.425879  0.0097912 
-0.803992  0.642125   -0.427933  0.00780639
-0.82558   0.590551   -0.444985  0.012197  
-0.82558   0.590551   -0.444985  0.00837747
-0.82558   0.590551   -0.444985  0.0193112 
-0.82558   0.590551   -0.444985  0.00886028
-0.82558   0.590551   -0.444985  0.00562203
-0.755349  0.625031   -0.446857  0.0125365 
-0.755349  0.625031   -0.446857  0.00989278
-0.755349  0.625031   -0.446857  0.0129878 
-0.730527  0.722264   -0.385673  0.0176149 
-0.770755  0.748412   -0.360178  0.0331539 
-0.770755  0.748412   -0.360178  0.010286  
-0.773319  0.689653   -0.420953  0.00788323
-0.818365  0.664933   -0.452963  0.00823599
-0.828925  0.635769   -0.443938  0.00821421
-0.73698   0.597566   -0.430454  0.00740116
-0.690299  0.634892   -0.404128  0.0173314 
-0.690299  0.634892   -0.404128  0.00990859
-0.690299  0.634892   -0.404128  0.00902335
-0.690299  0.634892   -0.404128  0.0103903 
-0.690299  0.634892   -0.404128  0.0113142 
-0.690299  0.634892   -0.404128  0.0116098 
-0.690299  0.634892   -0.404128  0.0134289 
-0.690299  0.634892   -0.404128  0.00894058
-0.67231   0.677075   -0.387279  0.0123373 
-0.67231   0.677075   -0.387279  0.0116945 
-0.67231   0.677075   -0.387279  0.0105402 
-0.67231   0.677075   -0.387279  0.0139354 
-0.752426  0.727415   -0.392462  0.0267338 
-0.759481  0.818394   -0.281843  0.026553  
-0.72685   0.852131   -0.268361  0.0262807 
-0.692337  0.806926   -0.300627  0.0125912 
-0.648837  0.748369   -0.358801  0.00980536
-0.635617  0.657038   -0.370422  0.00981353
-0.626813  0.63085    -0.35438   0.0126439 
-0.626813  0.63085    -0.35438   0.0148996 
-0.626813  0.63085    -0.35438   0.0115868 
-0.699154  0.688434   -0.378037  0.0120685 
-0.699154  0.688434   -0.378037  0.00794023
-0.659047  0.634137   -0.382211  0.0116806 
-0.600203  0.54444    -0.259843  0.0128915 
-0.53392   0.636221   -0.234852  0.0126919 
-0.540572  0.610665   -0.252734  0.0152554 
-0.483711  0.696801   -0.216537  0.0140594 
-0.550531  0.729944   -0.286205  0.0129302 
-0.563949  0.636759   -0.284308  0.0110459 
-0.599623  0.580794   -0.317557  0.0125345 
-0.599623  0.580794   -0.317557  0.00901946
-0.637993  0.660663   -0.352089  0.0126786 
-0.637993  0.660663   -0.352089  0.0110413 
-0.637993  0.660663   -0.352089  0.00940142
-0.657731  0.657138   -0.367822  0.00961474
-0.665538  0.560728   -0.346895  0.0128144 
-0.665538  0.560728   -0.346895  0.0154416 
-0.752358  0.64703    -0.408511  0.0135212 
-0.752358  0.64703    -0.408511  0.0124824 
-0.752358  0.64703    -0.408511  0.0182996 
-0.752358  0.64703    -0.408511  0.0180022 
