#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         118      7.734078e+00      7.762136e+00      4.512608e-03
         119      7.802312e+00      7.762473e+00      4.487298e-03
         120      7.731351e+00      7.762214e+00      4.457393e-03
         121      7.762718e+00      7.762218e+00      4.420557e-03
         122      7.771214e+00      7.762292e+00      4.384938e-03
         123      7.760721e+00      7.762279e+00      4.349306e-03
         124      7.836461e+00      7.762877e+00      4.355181e-03
         125      7.834653e+00      7.763451e+00      4.358028e-03
         126      7.810374e+00      7.763824e+00      4.339323e-03
         127      7.837484e+00      7.764404e+00      4.343743e-03
         128      7.691749e+00      7.763836e+00      4.346736e-03
         129      7.688068e+00      7.763249e+00      4.352543e-03
         130      7.902417e+00      7.764319e+00      4.448763e-03
         131      7.680391e+00      7.763679e+00      4.460698e-03
         132      7.743477e+00      7.763526e+00      4.429529e-03
         133      7.738389e+00      7.763337e+00      4.400255e-03
         134      7.708266e+00      7.762926e+00      4.386567e-03
         135      7.792106e+00      7.763142e+00      4.359396e-03
         136      7.704725e+00      7.762712e+00      4.348452e-03
         137      7.623436e+00      7.761696e+00      4.433955e-03
         138      7.804920e+00      7.762009e+00      4.412875e-03
         139      7.724177e+00      7.761737e+00      4.389513e-03
         140      7.793727e+00      7.761965e+00      4.364102e-03
         141      7.783349e+00      7.762117e+00      4.335786e-03
         142      7.738228e+00      7.761949e+00      4.308514e-03
         143      7.690181e+00      7.761447e+00      4.307516e-03
         144      7.785260e+00      7.761612e+00      4.280776e-03
         145      7.734941e+00      7.761428e+00      4.255203e-03
         146      7.832965e+00      7.761918e+00      4.254174e-03
         147      7.768175e+00      7.761961e+00      4.225447e-03
         148      7.714275e+00      7.761639e+00      4.209164e-03
         149      7.771356e+00      7.761704e+00      4.181419e-03
         150      7.712477e+00      7.761376e+00      4.166402e-03
         151      7.795186e+00      7.761600e+00      4.144822e-03
         152      7.791999e+00      7.761800e+00      4.122376e-03
         153      7.777947e+00      7.761905e+00      4.096783e-03
         154      7.740835e+00      7.761768e+00      4.072464e-03
         155      7.747237e+00      7.761675e+00      4.047269e-03
         156      7.701643e+00      7.761290e+00      4.039578e-03
         157      7.766674e+00      7.761324e+00      4.013994e-03
         158      7.782546e+00      7.761458e+00      3.990835e-03
         159      7.777117e+00      7.761557e+00      3.966951e-03
         160      7.801272e+00      7.761805e+00      3.949916e-03
         161      7.700756e+00      7.761426e+00      3.943541e-03
         162      7.673963e+00      7.760886e+00      3.955982e-03
         163      7.796154e+00      7.761102e+00      3.937625e-03
         164      7.757316e+00      7.761079e+00      3.913683e-03
         165      7.839982e+00      7.761557e+00      3.919070e-03
         166      7.782893e+00      7.761686e+00      3.897568e-03
         167      7.850838e+00      7.762220e+00      3.910618e-03
         168      7.788651e+00      7.762377e+00      3.890504e-03
         169      7.818289e+00      7.762708e+00      3.881524e-03
         170      7.723196e+00      7.762476e+00      3.865644e-03
         171      7.765627e+00      7.762494e+00      3.843082e-03
         172      7.743252e+00      7.762382e+00      3.822366e-03
         173      7.822682e+00      7.762731e+00      3.816131e-03
         174      7.781703e+00      7.762840e+00      3.795756e-03
         175      7.760594e+00      7.762827e+00      3.774088e-03
         176      7.691990e+00      7.762424e+00      3.774044e-03
         177      7.869915e+00      7.763032e+00      3.801269e-03
         178      7.760553e+00      7.763018e+00      3.779939e-03
         179      7.721861e+00      7.762788e+00      3.765808e-03
         180      7.786959e+00      7.762922e+00      3.747280e-03
         181      7.762376e+00      7.762919e+00      3.726578e-03
         182      7.724193e+00      7.762706e+00      3.712173e-03
         183      7.764147e+00      7.762714e+00      3.691896e-03
         184      7.734119e+00      7.762559e+00      3.675101e-03
         185      7.774224e+00      7.762622e+00      3.655776e-03
         186      7.714741e+00      7.762364e+00      3.645173e-03
         187      7.826084e+00      7.762705e+00      3.641572e-03
         188      7.777793e+00      7.762785e+00      3.623086e-03
         189      7.728008e+00      7.762601e+00      3.608586e-03
         190      7.708777e+00      7.762318e+00      3.600695e-03
         191      7.781282e+00      7.762417e+00      3.583212e-03
         192      7.810194e+00      7.762666e+00      3.573179e-03
         193      7.851457e+00      7.763126e+00      3.584159e-03
         194      7.763723e+00      7.763129e+00      3.565686e-03
         195      7.755241e+00      7.763089e+00      3.547630e-03
         196      7.737396e+00      7.762958e+00      3.531950e-03
         197      7.716599e+00      7.762723e+00      3.521852e-03
         198      7.757667e+00      7.762697e+00      3.504158e-03
         199      7.751381e+00      7.762640e+00      3.487010e-03
         200      7.803534e+00      7.762845e+00      3.475565e-03
