#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         118      1.156053e+00      1.227704e+00      6.130204e-03
         119      1.281711e+00      1.228158e+00      6.095466e-03
         120      1.257198e+00      1.228400e+00      6.049473e-03
         121      1.235650e+00      1.228460e+00      5.999774e-03
         122      1.249989e+00      1.228636e+00      5.953190e-03
         123      1.189595e+00      1.228319e+00      5.913246e-03
         124      1.366376e+00      1.229432e+00      5.969452e-03
         125      1.347339e+00      1.230375e+00      5.995758e-03
         126      1.382346e+00      1.231581e+00      6.068272e-03
         127      1.223259e+00      1.231516e+00      6.020844e-03
         128      1.212770e+00      1.231369e+00      5.975587e-03
         129      1.176875e+00      1.230947e+00      5.944178e-03
         130      1.262601e+00      1.231191e+00      5.903439e-03
         131      1.281721e+00      1.231576e+00      5.870963e-03
         132      1.202647e+00      1.231357e+00      5.830575e-03
         133      1.257776e+00      1.231556e+00      5.790119e-03
         134      1.262324e+00      1.231785e+00      5.751460e-03
         135      1.253279e+00      1.231945e+00      5.711060e-03
         136      1.250614e+00      1.232082e+00      5.670716e-03
         137      1.204252e+00      1.231879e+00      5.632961e-03
         138      1.110273e+00      1.230998e+00      5.660649e-03
         139      1.187181e+00      1.230682e+00      5.628695e-03
         140      1.301904e+00      1.231191e+00      5.611433e-03
         141      1.087703e+00      1.230173e+00      5.663160e-03
         142      1.211513e+00      1.230042e+00      5.624803e-03
         143      1.189910e+00      1.229761e+00      5.592465e-03
         144      1.282823e+00      1.230130e+00      5.565755e-03
         145      1.196042e+00      1.229895e+00      5.532334e-03
         146      1.234738e+00      1.229928e+00      5.494540e-03
         147      1.293611e+00      1.230361e+00      5.474215e-03
         148      1.089514e+00      1.229409e+00      5.519328e-03
         149      1.226847e+00      1.229392e+00      5.482313e-03
         150      1.399545e+00      1.230527e+00      5.561882e-03
         151      1.217520e+00      1.230440e+00      5.525715e-03
         152      1.193771e+00      1.230199e+00      5.494625e-03
         153      1.263120e+00      1.230414e+00      5.462924e-03
         154      1.195877e+00      1.230190e+00      5.432052e-03
         155      1.255249e+00      1.230352e+00      5.399412e-03
         156      1.149814e+00      1.229836e+00      5.389426e-03
         157      1.126028e+00      1.229174e+00      5.395504e-03
         158      1.236352e+00      1.229220e+00      5.361547e-03
         159      1.105815e+00      1.228444e+00      5.383710e-03
         160      1.249707e+00      1.228577e+00      5.351701e-03
         161      1.184366e+00      1.228302e+00      5.325501e-03
         162      1.172661e+00      1.227958e+00      5.303692e-03
         163      1.285227e+00      1.228310e+00      5.282778e-03
         164      1.263706e+00      1.228526e+00      5.254973e-03
         165      1.156739e+00      1.228091e+00      5.241105e-03
         166      1.202451e+00      1.227936e+00      5.211807e-03
         167      1.244397e+00      1.228035e+00      5.181531e-03
         168      1.235073e+00      1.228077e+00      5.150858e-03
         169      1.151650e+00      1.227624e+00      5.140193e-03
         170      1.158431e+00      1.227217e+00      5.126046e-03
         171      1.192342e+00      1.227013e+00      5.100125e-03
         172      1.125347e+00      1.226422e+00      5.104610e-03
         173      1.321793e+00      1.226974e+00      5.104784e-03
         174      1.331664e+00      1.227575e+00      5.110781e-03
         175      1.245159e+00      1.227676e+00      5.082564e-03
         176      1.099380e+00      1.226947e+00      5.105692e-03
         177      1.243904e+00      1.227043e+00      5.077745e-03
         178      1.174223e+00      1.226746e+00      5.057882e-03
         179      1.125008e+00      1.226177e+00      5.061459e-03
         180      1.249458e+00      1.226307e+00      5.034992e-03
         181      1.217569e+00      1.226258e+00      5.007406e-03
         182      1.273461e+00      1.226518e+00      4.986605e-03
         183      1.211724e+00      1.226437e+00      4.960011e-03
         184      1.320168e+00      1.226946e+00      4.959144e-03
         185      1.302909e+00      1.227357e+00      4.949307e-03
         186      1.178319e+00      1.227093e+00      4.929715e-03
         187      1.239402e+00      1.227159e+00      4.903792e-03
         188      1.218659e+00      1.227114e+00      4.877917e-03
         189      1.217176e+00      1.227061e+00      4.852391e-03
         190      1.208304e+00      1.226963e+00      4.827856e-03
         191      1.125483e+00      1.226431e+00      4.831726e-03
         192      1.238898e+00      1.226496e+00      4.806997e-03
         193      1.293316e+00      1.226843e+00      4.794542e-03
         194      1.255636e+00      1.226991e+00      4.772125e-03
         195      1.214909e+00      1.226929e+00      4.748055e-03
         196      1.243649e+00      1.227014e+00      4.724596e-03
         197      1.242674e+00      1.227094e+00      4.701282e-03
         198      1.253406e+00      1.227227e+00      4.679416e-03
         199      1.208188e+00      1.227131e+00      4.656879e-03
         200      1.288998e+00      1.227440e+00      4.643857e-03
