#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         110     -7.549301e+00     -7.546874e+00      8.495412e-04
         111     -7.545537e+00     -7.546862e+00      8.419732e-04
         112     -7.558765e+00     -7.546969e+00      8.411363e-04
         113     -7.554747e+00     -7.547037e+00      8.365049e-04
         114     -7.551593e+00     -7.547077e+00      8.301210e-04
         115     -7.548407e+00     -7.547089e+00      8.229832e-04
         116     -7.540747e+00     -7.547034e+00      8.177022e-04
         117     -7.564469e+00     -7.547183e+00      8.241786e-04
         118     -7.552281e+00     -7.547226e+00      8.183253e-04
         119     -7.540686e+00     -7.547172e+00      8.132920e-04
         120     -7.551778e+00     -7.547210e+00      8.074202e-04
         121     -7.546788e+00     -7.547206e+00      8.007548e-04
         122     -7.545353e+00     -7.547191e+00      7.943353e-04
         123     -7.547975e+00     -7.547198e+00      7.879029e-04
         124     -7.533058e+00     -7.547084e+00      7.897569e-04
         125     -7.534113e+00     -7.546980e+00      7.902260e-04
         126     -7.537642e+00     -7.546906e+00      7.874222e-04
         127     -7.533896e+00     -7.546803e+00      7.878574e-04
         128     -7.559872e+00     -7.546905e+00      7.882897e-04
         129     -7.560439e+00     -7.547010e+00      7.891296e-04
         130     -7.521541e+00     -7.546814e+00      8.070137e-04
         131     -7.561647e+00     -7.546928e+00      8.087576e-04
         132     -7.551197e+00     -7.546960e+00      8.032771e-04
         133     -7.550945e+00     -7.546990e+00      7.977960e-04
         134     -7.556976e+00     -7.547064e+00      7.953152e-04
         135     -7.542357e+00     -7.547030e+00      7.901879e-04
         136     -7.557565e+00     -7.547107e+00      7.881659e-04
         137     -7.572650e+00     -7.547293e+00      8.041637e-04
         138     -7.538880e+00     -7.547232e+00      8.006444e-04
         139     -7.554366e+00     -7.547284e+00      7.965272e-04
         140     -7.541901e+00     -7.547245e+00      7.917652e-04
         141     -7.543721e+00     -7.547220e+00      7.865443e-04
         142     -7.551044e+00     -7.547247e+00      7.814660e-04
         143     -7.560372e+00     -7.547339e+00      7.813721e-04
         144     -7.542847e+00     -7.547308e+00      7.765684e-04
         145     -7.552110e+00     -7.547341e+00      7.719187e-04
         146     -7.534450e+00     -7.547253e+00      7.716645e-04
         147     -7.546431e+00     -7.547247e+00      7.664354e-04
         148     -7.556182e+00     -7.547307e+00      7.636305e-04
         149     -7.546085e+00     -7.547299e+00      7.585495e-04
         150     -7.556074e+00     -7.547358e+00      7.557446e-04
         151     -7.541246e+00     -7.547317e+00      7.518228e-04
         152     -7.541667e+00     -7.547280e+00      7.477951e-04
         153     -7.544316e+00     -7.547261e+00      7.431585e-04
         154     -7.551356e+00     -7.547287e+00      7.388084e-04
         155     -7.549755e+00     -7.547303e+00      7.342134e-04
         156     -7.558826e+00     -7.547377e+00      7.332133e-04
         157     -7.546150e+00     -7.547369e+00      7.285848e-04
         158     -7.543838e+00     -7.547347e+00      7.243162e-04
