#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         110     -5.486097e+00     -5.463954e+00      1.232722e-03
         111     -5.454366e+00     -5.463868e+00      1.224639e-03
         112     -5.477768e+00     -5.463992e+00      1.219978e-03
         113     -5.461443e+00     -5.463969e+00      1.209390e-03
         114     -5.473633e+00     -5.464054e+00      1.201748e-03
         115     -5.451359e+00     -5.463944e+00      1.196358e-03
         116     -5.455650e+00     -5.463872e+00      1.188179e-03
         117     -5.468817e+00     -5.463914e+00      1.178775e-03
         118     -5.480911e+00     -5.464058e+00      1.177552e-03
         119     -5.453389e+00     -5.463969e+00      1.171066e-03
         120     -5.459409e+00     -5.463931e+00      1.161923e-03
         121     -5.463761e+00     -5.463929e+00      1.152321e-03
         122     -5.461782e+00     -5.463912e+00      1.143010e-03
         123     -5.473196e+00     -5.463987e+00      1.136207e-03
         124     -5.442943e+00     -5.463818e+00      1.139649e-03
         125     -5.446066e+00     -5.463676e+00      1.139345e-03
         126     -5.436023e+00     -5.463456e+00      1.151246e-03
         127     -5.468239e+00     -5.463494e+00      1.142797e-03
         128     -5.466231e+00     -5.463515e+00      1.134069e-03
         129     -5.470686e+00     -5.463571e+00      1.126639e-03
         130     -5.451942e+00     -5.463481e+00      1.121518e-03
         131     -5.451803e+00     -5.463392e+00      1.116495e-03
         132     -5.473109e+00     -5.463466e+00      1.110460e-03
         133     -5.458000e+00     -5.463425e+00      1.102871e-03
         134     -5.453957e+00     -5.463354e+00      1.096901e-03
         135     -5.456526e+00     -5.463303e+00      1.089942e-03
         136     -5.461596e+00     -5.463291e+00      1.082000e-03
         137     -5.475471e+00     -5.463380e+00      1.077748e-03
         138     -5.483684e+00     -5.463527e+00      1.079935e-03
         139     -5.467860e+00     -5.463558e+00      1.072615e-03
         140     -5.448863e+00     -5.463453e+00      1.070077e-03
         141     -5.490852e+00     -5.463647e+00      1.079987e-03
         142     -5.466330e+00     -5.463666e+00      1.072547e-03
         143     -5.474602e+00     -5.463743e+00      1.067770e-03
         144     -5.452914e+00     -5.463668e+00      1.062999e-03
         145     -5.472843e+00     -5.463731e+00      1.057550e-03
         146     -5.462401e+00     -5.463722e+00      1.050346e-03
         147     -5.454366e+00     -5.463658e+00      1.045127e-03
         148     -5.489493e+00     -5.463833e+00      1.052542e-03
         149     -5.460536e+00     -5.463811e+00      1.045710e-03
         150     -5.433366e+00     -5.463608e+00      1.058252e-03
         151     -5.472128e+00     -5.463664e+00      1.052747e-03
         152     -5.470589e+00     -5.463710e+00      1.046806e-03
         153     -5.456705e+00     -5.463664e+00      1.040965e-03
         154     -5.475594e+00     -5.463741e+00      1.037084e-03
         155     -5.459360e+00     -5.463713e+00      1.030779e-03
         156     -5.478124e+00     -5.463805e+00      1.028302e-03
         157     -5.487791e+00     -5.463958e+00      1.033039e-03
         158     -5.457243e+00     -5.463916e+00      1.027375e-03
         159     -5.482611e+00     -5.464033e+00      1.027620e-03
         160     -5.458445e+00     -5.463998e+00      1.021790e-03
         161     -5.466040e+00     -5.464011e+00      1.015522e-03
         162     -5.474944e+00     -5.464078e+00      1.011494e-03
         163     -5.454456e+00     -5.464019e+00      1.007009e-03
         164     -5.456751e+00     -5.463975e+00      1.001844e-03
         165     -5.479476e+00     -5.464069e+00      1.000167e-03
         166     -5.472774e+00     -5.464121e+00      9.955158e-04
         167     -5.464082e+00     -5.464121e+00      9.895546e-04
         168     -5.463198e+00     -5.464116e+00      9.836797e-04
         169     -5.477015e+00     -5.464192e+00      9.808160e-04
         170     -5.476887e+00     -5.464267e+00      9.778849e-04
         171     -5.468190e+00     -5.464290e+00      9.724354e-04
         172     -5.483033e+00     -5.464399e+00      9.728686e-04
         173     -5.443776e+00     -5.464279e+00      9.745208e-04
         174     -5.444123e+00     -5.464164e+00      9.757807e-04
         175     -5.463497e+00     -5.464160e+00      9.702123e-04
         176     -5.486784e+00     -5.464288e+00      9.731780e-04
         177     -5.458387e+00     -5.464255e+00      9.682507e-04
         178     -5.476939e+00     -5.464326e+00      9.654295e-04
         179     -5.483123e+00     -5.464431e+00      9.657302e-04
         180     -5.457048e+00     -5.464390e+00      9.612357e-04
         181     -5.463285e+00     -5.464384e+00      9.559445e-04
         182     -5.461415e+00     -5.464368e+00      9.508312e-04
         183     -5.473939e+00     -5.464420e+00      9.470727e-04
         184     -5.451780e+00     -5.464351e+00      9.444137e-04
         185     -5.452179e+00     -5.464286e+00      9.415978e-04
         186     -5.472901e+00     -5.464332e+00      9.376740e-04
         187     -5.466384e+00     -5.464343e+00      9.327239e-04
         188     -5.460195e+00     -5.464321e+00      9.280236e-04
         189     -5.462158e+00     -5.464309e+00      9.231840e-04
         190     -5.464443e+00     -5.464310e+00      9.183254e-04
         191     -5.477265e+00     -5.464378e+00      9.160189e-04
         192     -5.461391e+00     -5.464362e+00      9.113801e-04
         193     -5.454253e+00     -5.464310e+00      9.081618e-04
         194     -5.461753e+00     -5.464297e+00      9.035763e-04
         195     -5.469905e+00     -5.464326e+00      8.994001e-04
         196     -5.459927e+00     -5.464303e+00      8.950913e-04
         197     -5.462899e+00     -5.464296e+00      8.905760e-04
         198     -5.459312e+00     -5.464271e+00      8.864338e-04
         199     -5.468366e+00     -5.464291e+00      8.822182e-04
         200     -5.456401e+00     -5.464252e+00      8.786889e-04
